Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
IDDLNTM37_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0004356311423991078)	(4, 0.0006638188836557834)	(5, 0.001535081168453999)	(6, 0.0017425245695964313)	(7, 0.002178155711995539)	(8, 0.0025930425142804037)	(9, 0.0029456962962225385)	(10, 0.008654538695662278)	(15, 0.013944345424794299)	(20, 0.018279912508671135)	(25, 0.022026340333303463)	(30, 0.026266483452654775)	(35, 0.030178865998201056)	(40, 0.04639679109951641)	(45, 0.06885461370719613)	(50, 0.07388304175088868)	(55, 0.07947571584568866)	(60, 0.08868205398838981)	(65, 0.0979257319432966)	(70, 0.10588326081112029)	(75, 0.2886118551414432)	(80, 0.9901563957289893)	(85, 2.1052020166817687)	(90, 3.570196357625785)	(95, 5.30978352866204)	(100, 7.161958531234338)	(105, 9.15813659401169)	(110, 11.21178477664154)	(115, 13.254251759949815)	(120, 15.315351309548703)	(125, 17.38927915907424)	(130, 19.423821804458875)	(135, 21.536247000368416)	(140, 22.592100721239216)
IDDLNTM37_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00026137868543946467)	(15, 0.000597436995290205)	(20, 0.0022818774125667554)	(25, 0.09149083763985835)	(30, 0.8105560478878943)	(35, 2.39046158646075)	(40, 3.9090758977320625)	(45, 6.262853193134785)	(50, 8.008074526946068)	(55, 10.338630608024905)	(60, 12.164974758286949)	(65, 14.535052956151443)	(70, 16.36620564445197)	(75, 18.719609541732634)	(80, 20.55152147288134)	(85, 22.906489493406617)	(90, 24.745180674904656)	(95, 27.057012914596385)	(100, 28.87334169745127)	(105, 31.08160574468862)	(110, 32.85744572450853)	(115, 34.8954277814841)	(120, 36.61066524609426)	(125, 38.504889026078125)	(130, 40.19992150341701)	(135, 41.96611951395182)	(140, 43.04280470116533)
IDDLNTM37_R2 - polyg	(1, 0.2684939940986501)	(2, 0.27316147062435486)	(3, 0.27631461032171983)	(4, 0.2791358405772569)	(5, 0.2846953237278741)	(6, 0.28780697474501055)	(7, 0.290400017259291)	(8, 0.29286859373288593)	(9, 0.29550312492739483)	(10, 0.302651624530763)	(15, 0.30985405941842825)	(20, 0.3154508823812511)	(25, 0.3198984689017449)	(30, 0.32352457955371455)	(35, 0.32716313680975284)	(40, 0.3305486131163973)	(45, 0.33399217357536165)	(50, 0.3372365883692294)	(55, 0.3404602588229827)	(60, 0.3432607447384056)	(65, 0.34597825329337145)	(70, 0.34877459034077146)	(75, 0.3517908173933824)	(80, 0.35446268840009687)	(85, 0.35705987978240017)	(90, 0.3593915436112411)	(95, 0.3628807416184568)	(100, 0.39008901811229824)	(105, 0.8773279298476204)	(110, 2.2408948942370563)	(115, 3.7714869874903334)	(120, 5.995861089260407)	(125, 7.950865785779007)	(130, 10.235224221423428)	(135, 12.263302930428463)	(140, 13.559952802477373)
IDDLNTM38_R1 - nextera_transposase_sequence	(1, 1.9049429650551546e-05)	(2, 1.9049429650551546e-05)	(3, 1.9049429650551546e-05)	(4, 3.809885930110309e-05)	(5, 5.7148288951654645e-05)	(6, 5.7148288951654645e-05)	(7, 5.7148288951654645e-05)	(8, 5.7148288951654645e-05)	(9, 7.619771860220618e-05)	(10, 0.00046099619754334743)	(15, 0.0007619771860220618)	(20, 0.002903133078744056)	(25, 0.10063813684386383)	(30, 0.9667928437388621)	(35, 2.8309585996840463)	(40, 4.53314324542466)	(45, 7.204833373686375)	(50, 9.064884452827041)	(55, 11.63765470279937)	(60, 13.547733394088315)	(65, 16.106967119350962)	(70, 17.978284031186966)	(75, 20.471660068261727)	(80, 22.32924615120561)	(85, 24.832398355577034)	(90, 26.73320759439802)	(95, 29.195426384336336)	(100, 31.134631653560973)	(105, 33.49122516597292)	(110, 35.409411294521135)	(115, 37.60687730129016)	(120, 39.4914602359348)	(125, 41.53109790816308)	(130, 43.39544272874698)	(135, 45.29435083448884)	(140, 46.503658157222944)
IDDLNTM38_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00017144486685496393)	(4, 0.0003238403040593763)	(5, 0.0007048288970704072)	(6, 0.0009334220528770258)	(7, 0.0013525095051891598)	(8, 0.0018858935354046033)	(9, 0.0023811787063189433)	(10, 0.009578053228297318)	(15, 0.015216684404860575)	(20, 0.017483566533276214)	(25, 0.01909133839578276)	(30, 0.020821026608052844)	(35, 0.022577384021833694)	(40, 0.03076482888564075)	(45, 0.04052575663858336)	(50, 0.042381171086547084)	(55, 0.044472798462177644)	(60, 0.047695961959050966)	(65, 0.05103723191975771)	(70, 0.05623391632842817)	(75, 0.3034040759302646)	(80, 1.332214242839462)	(85, 2.7887641130080745)	(90, 4.706214933571781)	(95, 6.815375404252708)	(100, 9.019070574517462)	(105, 11.282314261869843)	(110, 13.562218580394594)	(115, 15.81773200919478)	(120, 18.019914654745282)	(125, 20.256211018913987)	(130, 22.3412777709729)	(135, 24.598898066692435)	(140, 25.638208279225015)
IDDLNTM38_R2 - nextera_transposase_sequence	(1, 1.9049429650551546e-05)	(2, 1.9049429650551546e-05)	(3, 1.9049429650551546e-05)	(4, 1.9049429650551546e-05)	(5, 1.9049429650551546e-05)	(6, 1.9049429650551546e-05)	(7, 1.9049429650551546e-05)	(8, 1.9049429650551546e-05)	(9, 3.809885930110309e-05)	(10, 0.00038860836487125157)	(15, 0.0006972091252101867)	(20, 0.0028993231928139455)	(25, 0.1033622052838927)	(30, 0.9988530338407402)	(35, 2.927821139571171)	(40, 4.684517633199802)	(45, 7.429022301357786)	(50, 9.333778582002367)	(55, 11.95916335666952)	(60, 13.889880200041869)	(65, 16.48125793289686)	(70, 18.37262627438303)	(75, 20.873915444534635)	(80, 22.713854135850244)	(85, 25.1920706368091)	(90, 27.08268081099518)	(95, 29.553403266329507)	(100, 31.495843128708806)	(105, 33.84978496051339)	(110, 35.74593470884185)	(115, 37.91366455592636)	(120, 39.76159638792335)	(125, 41.76996632632321)	(130, 43.596101800914035)	(135, 45.45342500172873)	(140, 46.619269145772144)
IDDLNTM38_R2 - polyg	(1, 0.28918939152502304)	(2, 0.2929802280254828)	(3, 0.29570429646551166)	(4, 0.2996475284031758)	(5, 0.30334311775538286)	(6, 0.3062767299215678)	(7, 0.30842931547208013)	(8, 0.31018186299993084)	(9, 0.31282973372135753)	(10, 0.31859409113361437)	(15, 0.3238860226905376)	(20, 0.32648055500894274)	(25, 0.32836263865841725)	(30, 0.3299056424601119)	(35, 0.3312238629919301)	(40, 0.33266018998758173)	(45, 0.33396317097567935)	(50, 0.3352737717356374)	(55, 0.33644340671618117)	(60, 0.33775400747613915)	(65, 0.33876362724761844)	(70, 0.34006279834978603)	(75, 0.3409543116574318)	(80, 0.34195631165705087)	(85, 0.3431564257250356)	(90, 0.3444174979679021)	(95, 0.34660437249178544)	(100, 0.3730221215311703)	(105, 0.9469700072444981)	(110, 2.633442683409337)	(115, 4.388100888065361)	(120, 7.00017773117864)	(125, 9.156028353933069)	(130, 11.71299900695323)	(135, 13.882923348333488)	(140, 15.254421324998319)
IDDLNTM39_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 2.9664955097640715e-05)	(10, 8.899486529292215e-05)	(15, 0.00037971142524980116)	(20, 0.00214180975804966)	(25, 0.10554791023740569)	(30, 0.9550928943236405)	(35, 2.806162360452343)	(40, 4.584256037040849)	(45, 7.298083258256275)	(50, 9.338165952285106)	(55, 12.030213163467845)	(60, 14.177154958749398)	(65, 16.946390383096194)	(70, 19.10435567569203)	(75, 21.847539336472085)	(80, 23.998343508907347)	(85, 26.765971092687856)	(90, 28.96264915168611)	(95, 31.74181047000858)	(100, 34.01168977220577)	(105, 36.82206455628198)	(110, 39.13431134734963)	(115, 41.82772314646686)	(120, 44.15683743100302)	(125, 46.73252088931976)	(130, 49.08994740700111)	(135, 51.573586442640874)	(140, 53.113796844301405)
IDDLNTM39_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00020765468568348502)	(4, 0.00041530937136697004)	(5, 0.0007416238774410179)	(6, 0.0008602836978315808)	(7, 0.0011569332488079878)	(8, 0.0014239178446867544)	(9, 0.0016019075752725987)	(10, 0.004859119644993549)	(15, 0.007944274975148184)	(20, 0.010839574592677918)	(25, 0.013598415416758502)	(30, 0.016535245971424934)	(35, 0.019347483714681275)	(40, 0.03202628552341292)	(45, 0.049451480147767075)	(50, 0.053319790292499426)	(55, 0.05787039440447751)	(60, 0.06436701957086083)	(65, 0.07175952638119289)	(70, 0.07946054872454042)	(75, 0.2934279368528034)	(80, 1.1187485186063049)	(85, 2.429832740083673)	(90, 4.144769727269303)	(95, 6.21154494789499)	(100, 8.433521280600512)	(105, 10.82156203194263)	(110, 13.275500514538646)	(115, 15.711224714704707)	(120, 18.150366317698023)	(125, 20.57879887190109)	(130, 22.935299842983394)	(135, 25.408751933042637)	(140, 26.660577440216958)
IDDLNTM39_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 5.932991019528143e-05)	(15, 0.00032631450607404787)	(20, 0.002189273686205885)	(25, 0.10815249329497853)	(30, 0.9806937505729045)	(35, 2.8745578809254635)	(40, 4.693571396575655)	(45, 7.454999004740756)	(50, 9.521536905725663)	(55, 12.243343999862356)	(60, 14.391163877814796)	(65, 17.160606956847282)	(70, 19.31835866176641)	(75, 22.043464498909962)	(80, 24.144200160131426)	(85, 26.851050183907887)	(90, 29.012082832860823)	(95, 31.765453439221403)	(100, 34.01129226180747)	(105, 36.77508120039834)	(110, 39.021614182933696)	(115, 41.640311826142)	(120, 43.8830002304967)	(125, 46.37849931518451)	(130, 48.64493748259038)	(135, 51.032758713264776)	(140, 52.48804428147177)
IDDLNTM39_R2 - polyg	(1, 0.11349811820357338)	(2, 0.11557466506040823)	(3, 0.11652394362353273)	(4, 0.11750288714175487)	(5, 0.12076603220249536)	(6, 0.12165598085542458)	(7, 0.12302056878991605)	(8, 0.1237918576224547)	(9, 0.12450381654479808)	(10, 0.1281110750846712)	(15, 0.13178952951677864)	(20, 0.13493994774814808)	(25, 0.13691563375765098)	(30, 0.13928883016546223)	(35, 0.14171542349244923)	(40, 0.14398182606190899)	(45, 0.1461177028289391)	(50, 0.14823578062291068)	(55, 0.15027079654260883)	(60, 0.15210409076764303)	(65, 0.15393145200165767)	(70, 0.15540283377450065)	(75, 0.15696321041263656)	(80, 0.15873124173645597)	(85, 0.16043994315008006)	(90, 0.1620893146535089)	(95, 0.16472356266617935)	(100, 0.19639386872842063)	(105, 0.7922322908375931)	(110, 2.4356470712828107)	(115, 4.2859333825969355)	(120, 6.917487817344565)	(125, 9.250066968636133)	(130, 11.949844867117317)	(135, 14.345729032587249)	(140, 15.883388248109378)
IDDLNTM4.A_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 2.319516130379074e-05)	(5, 2.319516130379074e-05)	(6, 2.319516130379074e-05)	(7, 2.319516130379074e-05)	(8, 2.319516130379074e-05)	(9, 4.639032260758148e-05)	(10, 0.0002690638711239726)	(15, 0.0004685422583365729)	(20, 0.002069008388298134)	(25, 0.0859241555337624)	(30, 0.7821362001315629)	(35, 2.3441586697482206)	(40, 3.853848216431266)	(45, 6.210110121347806)	(50, 7.979246825278272)	(55, 10.362243473113562)	(60, 12.260512279054492)	(65, 14.755267853083703)	(70, 16.687267062592603)	(75, 19.176752695973597)	(80, 21.109665794837873)	(85, 23.67384448664933)	(90, 25.690668401046196)	(95, 28.279113870613678)	(100, 30.358490496014603)	(105, 32.92284083201971)	(110, 35.05249065003048)	(115, 37.56739354116816)	(120, 39.7345684911362)	(125, 42.17187892868044)	(130, 44.38038765609184)	(135, 46.76273947844289)	(140, 48.23482502962022)
IDDLNTM4.A_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0002551467743416981)	(4, 0.00037112258086065183)	(5, 0.0007886354843288851)	(6, 0.0009510016134554203)	(7, 0.0011365629038857462)	(8, 0.0014381000008350257)	(9, 0.0015772709686577703)	(10, 0.004741090970494828)	(15, 0.007714710649640799)	(20, 0.010498130006095688)	(25, 0.013443915491677111)	(30, 0.01640361807404081)	(35, 0.019525686785531043)	(40, 0.030742866792044243)	(45, 0.044121835832070744)	(50, 0.04738771454364448)	(55, 0.05070462261008655)	(60, 0.05414678454756909)	(65, 0.058071405840170495)	(70, 0.06441296294062689)	(75, 0.32874038212636536)	(80, 1.3386623443256749)	(85, 2.842738661973203)	(90, 4.723921912097761)	(95, 6.8094684504054985)	(100, 8.940120299384585)	(105, 11.15114802131357)	(110, 13.456784167168456)	(115, 15.753828825276418)	(120, 18.063626183069196)	(125, 20.38903388441944)	(130, 22.634780123787937)	(135, 25.07698010133502)	(140, 26.240500421688033)
IDDLNTM4.A_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 2.319516130379074e-05)	(10, 0.00019020032269108405)	(15, 0.0004175129034682333)	(20, 0.0020504522592551012)	(25, 0.08802563714788585)	(30, 0.8066581246619305)	(35, 2.421825347857834)	(40, 3.978234588438975)	(45, 6.387613412741195)	(50, 8.188666658625678)	(55, 10.609522448741014)	(60, 12.520836213399196)	(65, 15.03592466582731)	(70, 16.98180849889266)	(75, 19.472889959371358)	(80, 21.380617752091972)	(85, 23.90655226194574)	(90, 25.904022133750722)	(95, 28.49424435267408)	(100, 30.57010459162135)	(105, 33.12221252149032)	(110, 35.21346970851105)	(115, 37.68816610704474)	(120, 39.80058655923905)	(125, 42.188004204818846)	(130, 44.335115340259094)	(135, 46.644230760309554)	(140, 48.04856788435078)
IDDLNTM4.A_R2 - polyg	(1, 0.10556117909355166)	(2, 0.10857655006304445)	(3, 0.10980589361214536)	(4, 0.11103523716124626)	(5, 0.11365629038857462)	(6, 0.11460729200203004)	(7, 0.11574385490591578)	(8, 0.11630053877720677)	(9, 0.11706597910023187)	(10, 0.12020660394076513)	(15, 0.12382041007189573)	(20, 0.12690536652529988)	(25, 0.12976764943018768)	(30, 0.13198974588309084)	(35, 0.13423039846503698)	(40, 0.13634115814368197)	(45, 0.13835449814485098)	(50, 0.14033536492019474)	(55, 0.14210747524380435)	(60, 0.14343887750264192)	(65, 0.14503470460034276)	(70, 0.14656094621413213)	(75, 0.1480871878279216)	(80, 0.14972012718370847)	(85, 0.15149223750731808)	(90, 0.15329682105675296)	(95, 0.15580653750982315)	(100, 0.1822258262348408)	(105, 0.6733184203909591)	(110, 2.071884588299804)	(115, 3.6426052434053835)	(120, 5.938425196996505)	(125, 7.952396106553005)	(130, 10.346229533749423)	(135, 12.464935874657058)	(140, 13.846142783846147)
IDDLNTM4.B_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 4.941641682549927e-05)	(5, 4.941641682549927e-05)	(6, 4.941641682549927e-05)	(7, 4.941641682549927e-05)	(8, 4.941641682549927e-05)	(9, 4.941641682549927e-05)	(10, 0.00023719880076239646)	(15, 0.000543580585080492)	(20, 0.0033108999273084513)	(25, 0.1620561973375423)	(30, 1.4692785549058394)	(35, 4.359130844294307)	(40, 7.1463946523530355)	(45, 11.443191628463659)	(50, 14.536698854873373)	(55, 18.651880615866922)	(60, 21.82252686894124)	(65, 25.870492419768738)	(70, 28.887157118014805)	(75, 32.6694105955716)	(80, 35.49873765763219)	(85, 39.043505719209)	(90, 41.73041466797851)	(95, 44.99188829517809)	(100, 47.49727097838081)	(105, 50.451532625459635)	(110, 52.807361464781664)	(115, 55.43865717805575)	(120, 57.62999853233242)	(125, 59.990146366485)	(130, 62.0822200226426)	(135, 64.25793590591904)	(140, 65.58764273314294)
IDDLNTM4.B_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0001482492504764978)	(4, 0.00024708208412749634)	(5, 0.000543580585080492)	(6, 0.0006424134187314904)	(7, 0.0010377447533354847)	(8, 0.0012848268374629809)	(9, 0.0014330760879394788)	(10, 0.0034492658944198494)	(15, 0.005089890933026425)	(20, 0.007204913573157794)	(25, 0.008964138012145568)	(30, 0.010792545434689039)	(35, 0.012512236740216415)	(40, 0.028740588025710372)	(45, 0.049999530544040154)	(50, 0.052786616452998314)	(55, 0.05611728294703696)	(60, 0.059853164059044714)	(65, 0.06458725679092754)	(70, 0.07182182021418063)	(75, 0.5097698726884853)	(80, 2.19831895233243)	(85, 4.755598756485287)	(90, 8.012456890353372)	(95, 11.617384497773543)	(100, 15.248018525226342)	(105, 18.997271719627065)	(110, 22.737096261697484)	(115, 26.38716082424607)	(120, 29.92746164174185)	(125, 33.43263727015807)	(130, 36.62929632504933)	(135, 39.97459996175169)	(140, 41.52832128972894)
IDDLNTM4.B_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 4.941641682549927e-05)	(5, 4.941641682549927e-05)	(6, 4.941641682549927e-05)	(7, 4.941641682549927e-05)	(8, 4.941641682549927e-05)	(9, 4.941641682549927e-05)	(10, 0.000336031634413395)	(15, 0.0006424134187314904)	(20, 0.0034492658944198485)	(25, 0.16473456712948437)	(30, 1.5075367448121408)	(35, 4.480962078335892)	(40, 7.340838369278012)	(45, 11.726802327908564)	(50, 14.876288471298205)	(55, 19.04290283892373)	(60, 22.226525843056425)	(65, 26.29330916541108)	(70, 29.319115900769855)	(75, 33.08769091414935)	(80, 35.85992224820977)	(85, 39.3340841334263)	(90, 41.98317964004094)	(95, 45.224521019025815)	(100, 47.71125394651859)	(105, 50.635450645600784)	(110, 52.93817660340212)	(115, 55.50003236775302)	(120, 57.61770372782623)	(125, 59.91539909439474)	(130, 61.93812175117945)	(135, 64.03171743297528)	(140, 65.29420805003313)
IDDLNTM4.B_R2 - polyg	(1, 0.08346432801826827)	(2, 0.08415615785382526)	(3, 0.08489740410620773)	(4, 0.08544098469128823)	(5, 0.0870223100297042)	(6, 0.0873682249474827)	(7, 0.0878623891157377)	(8, 0.08825772045034169)	(9, 0.08865305178494569)	(10, 0.09031344339028245)	(15, 0.09286333049847822)	(20, 0.09497835313860958)	(25, 0.09661897817721617)	(30, 0.09759742323036105)	(35, 0.09899096618484013)	(40, 0.10055252495652592)	(45, 0.10164956941005199)	(50, 0.10293439624751496)	(55, 0.10398202428421555)	(60, 0.10470350396986786)	(65, 0.10523720127158324)	(70, 0.10602786394079122)	(75, 0.10682840989336431)	(80, 0.10774755524631859)	(85, 0.10920039790098827)	(90, 0.11075207338930895)	(95, 0.11374670824893421)	(100, 0.1556814795670529)	(105, 1.0500988575418595)	(110, 3.6018736728603558)	(115, 6.487545333385386)	(120, 10.658557762108382)	(125, 14.259858204533561)	(130, 18.37041458891224)	(135, 21.96089283605264)	(140, 24.195315422517776)
IDDLNTM4.C_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020954384497848884)	(15, 0.0004970574927396713)	(20, 0.0021344233511762355)	(25, 0.08303783996356862)	(30, 0.7267175468360951)	(35, 2.114633640607453)	(40, 3.4732428347578663)	(45, 5.532113447037671)	(50, 7.078010980584788)	(55, 9.109270536454172)	(60, 10.72479023077356)	(65, 12.76783297308848)	(70, 14.350005957380244)	(75, 16.31762753484093)	(80, 17.83329715047173)	(85, 19.772562085282882)	(90, 21.319677896998478)	(95, 23.314325757348715)	(100, 24.954298731065826)	(105, 26.97154321488502)	(110, 28.616077422064915)	(115, 30.519330054215818)	(120, 32.13974722677249)	(125, 33.92803825783298)	(130, 35.53226695008691)	(135, 37.24530250212407)	(140, 38.29942499707004)
IDDLNTM4.C_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.000268021197065509)	(4, 0.0004142145772830594)	(5, 0.0010477192248924444)	(6, 0.00126700929521877)	(7, 0.0015350304922842788)	(8, 0.001876148379458563)	(9, 0.0021198040131544804)	(10, 0.007314542123551438)	(15, 0.01240207175512219)	(20, 0.01626645010553944)	(25, 0.019331637977434077)	(30, 0.022815913539285696)	(35, 0.02713349136837735)	(40, 0.04195262700976304)	(45, 0.06125502631115361)	(50, 0.06546539566141904)	(55, 0.07155191339114306)	(60, 0.07938787857080377)	(65, 0.08675115182109439)	(70, 0.09341756995901469)	(75, 0.2797556523843044)	(80, 0.9698225187998595)	(85, 2.0629981387146143)	(90, 3.4799531109098516)	(95, 5.1357393352538265)	(100, 6.893120212623653)	(105, 8.731964914563369)	(110, 10.606870650290086)	(115, 12.434000389361703)	(120, 14.24498550614463)	(125, 16.008087417793636)	(130, 17.70158178800839)	(135, 19.466165125910265)	(140, 20.353432242901278)
IDDLNTM4.C_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00023878252102199895)	(15, 0.0005457886194788548)	(20, 0.0021734082525675822)	(25, 0.08439256528691792)	(30, 0.7462733479965294)	(35, 2.1730135304409943)	(40, 3.5651546129006397)	(45, 5.662688501135313)	(50, 7.231060830334542)	(55, 9.2877726536998)	(60, 10.909066986537784)	(65, 12.958293708835905)	(70, 14.542810660323823)	(75, 16.498960930550105)	(80, 17.983661915138157)	(85, 19.880784171545265)	(90, 21.401853196018767)	(95, 23.38245187253009)	(100, 25.00397524166375)	(105, 26.99420806193142)	(110, 28.59923107155118)	(115, 30.44783661817676)	(120, 32.013840614616456)	(125, 33.75079340365723)	(130, 35.30012648163945)	(135, 36.94677561971983)	(140, 37.944759856662266)
IDDLNTM4.C_R2 - polyg	(1, 0.20104026336250136)	(2, 0.20581591378294134)	(3, 0.20813064230305253)	(4, 0.2100067906825111)	(5, 0.21410020532860252)	(6, 0.21624437490512657)	(7, 0.21816925441132434)	(8, 0.21933880145306472)	(9, 0.22106875645230575)	(10, 0.22667283602731186)	(15, 0.23247184010927469)	(20, 0.23718414006495375)	(25, 0.2408535939084142)	(30, 0.24426477278015707)	(35, 0.24742742290553008)	(40, 0.25017098534094606)	(45, 0.2532020614241233)	(50, 0.25588714650745226)	(55, 0.25863558205554227)	(60, 0.2611647275333059)	(65, 0.2631675768422863)	(70, 0.26570159543272387)	(75, 0.2684743965441834)	(80, 0.2708670948670774)	(85, 0.2731964427252103)	(90, 0.2752723887242995)	(95, 0.2783765614975855)	(100, 0.3053394939223757)	(105, 0.7623692391584816)	(110, 1.9974840119264559)	(115, 3.4089664785888827)	(120, 5.412873253019564)	(125, 7.1770521225695045)	(130, 9.221990505714576)	(135, 11.032551661694873)	(140, 12.187313679582608)
IDDLNTM40_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 2.428959021032356e-05)	(10, 0.00014573754126194136)	(15, 0.0003449121809865946)	(20, 0.0021374839385084735)	(25, 0.07727490229512338)	(30, 0.6815270379573425)	(35, 2.0071557132759614)	(40, 3.308047869924386)	(45, 5.29758391446178)	(50, 6.794701954583324)	(55, 8.809674057988968)	(60, 10.42727332347176)	(65, 12.523683564934576)	(70, 14.179577798342965)	(75, 16.28436794842834)	(80, 17.9372794201589)	(85, 20.07270845933558)	(90, 21.758318577407284)	(95, 23.880752685821438)	(100, 25.588738374394886)	(105, 27.679153944993793)	(110, 29.412264785680797)	(115, 31.425857240362497)	(120, 33.173245502175135)	(125, 35.13192890922737)	(130, 36.92285869045104)	(135, 38.82731315839971)	(140, 40.01831435101858)
IDDLNTM40_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0002914750825238827)	(4, 0.00048579180420647123)	(5, 0.0007286877063097069)	(6, 0.0008987148377819717)	(7, 0.001384506641988443)	(8, 0.0017002713147226494)	(9, 0.001943167216825885)	(10, 0.005970381273697532)	(15, 0.009497229772236512)	(20, 0.011542413267945755)	(25, 0.013344700861551765)	(30, 0.015278152242293518)	(35, 0.017537084131853613)	(40, 0.028481973480625405)	(45, 0.04341035562389027)	(50, 0.04634453812129735)	(55, 0.04981309160333156)	(60, 0.055739751614650515)	(65, 0.062307656807522004)	(70, 0.06815659013016792)	(75, 0.20608745709851126)	(80, 0.7448888629799927)	(85, 1.631837823264084)	(90, 2.8245392871976853)	(95, 4.265732974818982)	(100, 5.88449814063187)	(105, 7.643744580385184)	(110, 9.491541150209255)	(115, 11.335334795566663)	(120, 13.208023337438274)	(125, 15.053677565405792)	(130, 16.877315708806677)	(135, 18.769766261273407)	(140, 19.74709678673011)
IDDLNTM40_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 2.428959021032356e-05)	(9, 2.428959021032356e-05)	(10, 0.0001603112953881355)	(15, 0.0003692017711969181)	(20, 0.0021909210369711854)	(25, 0.07968928756202955)	(30, 0.7066619059069854)	(35, 2.0859997230986713)	(40, 3.433945673902536)	(45, 5.485109266721561)	(50, 7.025841695024764)	(55, 9.09124870354312)	(60, 10.734978710174179)	(65, 12.866599141605883)	(70, 14.554030978943354)	(75, 16.685408514472954)	(80, 18.33292769717682)	(85, 20.461191307241457)	(90, 22.14867172375935)	(95, 24.293874894036662)	(100, 26.01896045411818)	(105, 28.13028450397013)	(110, 29.859120376780123)	(115, 31.87377671551303)	(120, 33.60355988234123)	(125, 35.56013009504517)	(130, 37.3342417640072)	(135, 39.220819093561076)	(140, 40.378018892443265)
IDDLNTM40_R2 - polyg	(1, 0.16045703292939745)	(2, 0.16312888785253304)	(3, 0.16427049859241824)	(4, 0.16570358441482733)	(5, 0.16774390999249453)	(6, 0.16869120401069715)	(7, 0.1701000002428959)	(8, 0.17131447975341207)	(9, 0.17218890500098372)	(10, 0.17583720145057433)	(15, 0.17973325172031024)	(20, 0.18205533654441713)	(25, 0.18394506666278035)	(30, 0.18565019589554504)	(35, 0.1875302101778241)	(40, 0.1890458806069483)	(45, 0.19068785690516615)	(50, 0.19211608480953318)	(55, 0.19322854804116602)	(60, 0.19437015878105118)	(65, 0.19550205368485227)	(70, 0.1967116752773264)	(75, 0.19796016021413704)	(80, 0.19920864515094766)	(85, 0.20051056718622098)	(90, 0.20159874082764348)	(95, 0.20351761845425909)	(100, 0.22670446126903396)	(105, 0.6574366223867437)	(110, 1.8444397484570036)	(115, 3.203524905331322)	(120, 5.144593501563035)	(125, 6.854804116599749)	(130, 8.876888212018974)	(135, 10.684704116356851)	(140, 11.854340185426732)
