Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
IDDLNTM120_R1	(1.0, 27.057633655932662)	(2.0, 13.278042708685431)	(3.0, 10.446750640327105)	(4.0, 8.541189922302868)	(5.0, 6.923393191985805)	(6.0, 5.6781676093884155)	(7.0, 4.705752582162878)	(8.0, 3.799000458665338)	(9.0, 3.117714334704363)	('>10', 15.753669465112322)	('>50', 0.42235143894555915)	('>100', 0.25813101937058347)	('>500', 0.0)	('>1k', 0.018202972416663823)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM120_R2	(1.0, 29.338569853262953)	(2.0, 12.651653537356525)	(3.0, 9.891909017001458)	(4.0, 8.1438692142606)	(5.0, 6.53565616685846)	(6.0, 5.457827290948254)	(7.0, 4.41793212614301)	(8.0, 3.6744398364454907)	(9.0, 3.0024043991245675)	('>10', 16.10044023883851)	('>50', 0.4134734531413019)	('>100', 0.22633866473705566)	('>500', 0.005265464700983276)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.14022073718078262)
IDDLNTM121_R1	(1.0, 26.610819965949954)	(2.0, 14.117124811463544)	(3.0, 11.002040288873507)	(4.0, 8.814341267367052)	(5.0, 7.082691722075101)	(6.0, 5.568136808162922)	(7.0, 4.461607407635494)	(8.0, 3.7261355704959476)	(9.0, 3.084697955412557)	('>10', 14.874766345307583)	('>50', 0.41345042274876587)	('>100', 0.22416736293470124)	('>500', 0.0)	('>1k', 0.020020071572962896)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM121_R2	(1.0, 30.351889528650478)	(2.0, 13.267538912398699)	(3.0, 10.194983360704336)	(4.0, 8.179721906161337)	(5.0, 6.513222995296314)	(6.0, 5.266398467995466)	(7.0, 4.371560955962626)	(8.0, 3.595187205243967)	(9.0, 2.937867833535259)	('>10', 14.543373291043274)	('>50', 0.3686349460477489)	('>100', 0.2191331851604418)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.1904874118000766)
IDDLNTM124_R1	(1.0, 37.44921335331322)	(2.0, 18.426683192669877)	(3.0, 12.48474132495001)	(4.0, 9.0739479351808)	(5.0, 6.328195937434776)	(6.0, 4.533095704005953)	(7.0, 3.2857024916247166)	(8.0, 2.2754108003564206)	(9.0, 1.669936032259415)	('>10', 4.4489141550202875)	('>50', 0.0045113976725470895)	('>100', 0.005477776469257798)	('>500', 0.014169899042768695)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM124_R2	(1.0, 40.33656933682831)	(2.0, 17.2052956372787)	(3.0, 11.933396337953216)	(4.0, 8.526504101417277)	(5.0, 5.986924618528356)	(6.0, 4.3616223255431645)	(7.0, 3.151246149252264)	(8.0, 2.206411369875457)	(9.0, 1.6272244981238797)	('>10', 4.479887700194011)	('>50', 0.012166524399741304)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.17275140060556987)
IDDLNTM126_R1	(1.0, 50.2286335008059)	(2.0, 20.808964143658855)	(3.0, 12.039073654257281)	(4.0, 6.9577878768717625)	(5.0, 4.087444213974888)	(6.0, 2.351506969143351)	(7.0, 1.4484571398435893)	(8.0, 0.8298357711079973)	(9.0, 0.5149909746590688)	('>10', 0.7235789131418591)	('>50', 0.0023941476339855547)	('>100', 0.0073326949014785965)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM126_R2	(1.0, 49.74984024754776)	(2.0, 20.468269817226613)	(3.0, 12.237578690741126)	(4.0, 7.066578523416481)	(5.0, 4.071977269418845)	(6.0, 2.5746574585315147)	(7.0, 1.4807154146867987)	(8.0, 0.8449791574471139)	(9.0, 0.5120102276898398)	('>10', 0.8897281034612063)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.10366508983267822)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM127_R1	(1.0, 41.65435673479333)	(2.0, 19.4251673632297)	(3.0, 12.656974180918109)	(4.0, 8.594903322067506)	(5.0, 5.768563688984969)	(6.0, 3.9384980255804973)	(7.0, 2.574619874807012)	(8.0, 1.7119740974458866)	(9.0, 1.1288975504644736)	('>10', 2.519222414090699)	('>50', 0.004205384877961875)	('>100', 0.0037819544736283125)	('>500', 0.018835408266188954)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM127_R2	(1.0, 43.11837970940756)	(2.0, 18.616667325969097)	(3.0, 12.25850537146662)	(4.0, 8.258733076510723)	(5.0, 5.561604638143682)	(6.0, 3.819210108758135)	(7.0, 2.560302522349408)	(8.0, 1.7419213691816025)	(9.0, 1.1866499789969291)	('>10', 2.7473278340792886)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.13069806513697813)	('>10k+', 0.0)
