Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
IDDLNTM20_R2	(1.0, 36.301146986891574)	(2.0, 15.49987004827578)	(3.0, 11.044025402605007)	(4.0, 8.427066409333172)	(5.0, 6.412260702820823)	(6.0, 4.848041110921535)	(7.0, 3.7442555524051664)	(8.0, 2.8393684196864637)	(9.0, 2.1292945145087554)	('>10', 8.17544758841664)	('>50', 0.21578505628725383)	('>100', 0.18997346535860826)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.17346474248916174)
IDDLNTM21.A_R1	(1.0, 35.98295516918799)	(2.0, 17.370889030688822)	(3.0, 12.289869818853182)	(4.0, 8.996420438806108)	(5.0, 6.603536641568981)	(6.0, 4.874743247603381)	(7.0, 3.5633546980446287)	(8.0, 2.5936795137891853)	(9.0, 1.9816853265218946)	('>10', 5.728374169509602)	('>50', 0.0031908480577141204)	('>100', 0.011301097368545092)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM21.A_R2	(1.0, 38.526189319311385)	(2.0, 16.556079658184732)	(3.0, 11.808613742955602)	(4.0, 8.493009787242265)	(5.0, 6.315292430999387)	(6.0, 4.61999281575066)	(7.0, 3.4467030939577787)	(8.0, 2.541354367870418)	(9.0, 1.8211669969956008)	('>10', 5.721891569006038)	('>50', 0.003194144085874307)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.14651207364023427)	('>10k+', 0.0)
IDDLNTM21.B_R1	(1.0, 38.879072412697205)	(2.0, 18.22963367637848)	(3.0, 12.149619797632084)	(4.0, 8.455847071107117)	(5.0, 5.962601425892587)	(6.0, 4.235605324116606)	(7.0, 3.0614152108326405)	(8.0, 2.1171904952374714)	(9.0, 1.5518352927158525)	('>10', 4.981458102639845)	('>50', 0.25672007858172996)	('>100', 0.11900111216835516)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM21.B_R2	(1.0, 40.91794459857393)	(2.0, 17.318327190651715)	(3.0, 11.666979084804057)	(4.0, 8.22054895973018)	(5.0, 5.779834336423816)	(6.0, 4.116199009353575)	(7.0, 2.8564660743248926)	(8.0, 2.141324679518412)	(9.0, 1.5448885629154063)	('>10', 4.926748667089083)	('>50', 0.2285443011565266)	('>100', 0.10376831445326933)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.17842622100511543)	('>10k+', 0.0)
IDDLNTM22.A_R1	(1.0, 36.36428385847181)	(2.0, 17.128766844045803)	(3.0, 11.982843620494817)	(4.0, 8.606192915700571)	(5.0, 6.084214077558673)	(6.0, 4.652050692256022)	(7.0, 3.3450140185358808)	(8.0, 2.3799876702394833)	(9.0, 1.837487696245585)	('>10', 6.635224604418083)	('>50', 0.5457939474865683)	('>100', 0.42237293221141337)	('>500', 0.01576712233533266)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM22.A_R2	(1.0, 37.99479750210902)	(2.0, 16.38985498671267)	(3.0, 11.581329953507453)	(4.0, 8.293552884604109)	(5.0, 5.928417694899442)	(6.0, 4.417156310622699)	(7.0, 3.260014957994265)	(8.0, 2.504978801568023)	(9.0, 1.8422664913808888)	('>10', 6.695894410758078)	('>50', 0.5405830375869625)	('>100', 0.443823915219438)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.10732905303692337)	('>10k+', 0.0)
IDDLNTM22.B_R1	(1.0, 37.751792612253574)	(2.0, 17.895206365680206)	(3.0, 12.186195720309719)	(4.0, 8.5780111429069)	(5.0, 6.288816073891801)	(6.0, 4.339870129945951)	(7.0, 3.04884021534804)	(8.0, 2.2265006828392364)	(9.0, 1.5478916837168428)	('>10', 5.26791290585448)	('>50', 0.5002719569109048)	('>100', 0.35114031260270806)	('>500', 0.01755019773959305)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM22.B_R2	(1.0, 39.41971185612501)	(2.0, 17.253698869286602)	(3.0, 11.664839372066362)	(4.0, 8.173225655848636)	(5.0, 6.157623626327939)	(6.0, 4.197318239515925)	(7.0, 3.0035597307585515)	(8.0, 2.1253133148992815)	(9.0, 1.5468745553563448)	('>10', 5.465551977228761)	('>50', 0.4768990916512155)	('>100', 0.34880236466713904)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.16658134626815993)	('>10k+', 0.0)
IDDLNTM32_R1	(1.0, 37.372891226431705)	(2.0, 17.560458840577624)	(3.0, 12.43699250264191)	(4.0, 8.842829352106039)	(5.0, 6.436978831992188)	(6.0, 4.7388965590582)	(7.0, 3.3597721178704694)	(8.0, 2.357156097114517)	(9.0, 1.7705010116276731)	('>10', 5.100053577879003)	('>50', 0.003231216573330735)	('>100', 0.005422693494993139)	('>500', 0.014815972632337244)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM32_R2	(1.0, 39.95974346809866)	(2.0, 16.870016669544093)	(3.0, 11.619077780379925)	(4.0, 8.59758082981948)	(5.0, 5.987842753102368)	(6.0, 4.430056035035341)	(7.0, 3.1833523663992476)	(8.0, 2.3373885120658344)	(9.0, 1.7375318171616998)	('>10', 5.061386755361027)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.21602301303233837)
IDDLNTM33.A_R1	(1.0, 39.28193540239106)	(2.0, 18.534529914267637)	(3.0, 12.710511856106155)	(4.0, 8.746336801903887)	(5.0, 6.146225850809188)	(6.0, 4.282150261710265)	(7.0, 2.9932197694828715)	(8.0, 2.0977706562365634)	(9.0, 1.4535050555664948)	('>10', 3.737642309097437)	('>50', 0.0043616810284647705)	('>100', 0.0)	('>500', 0.011810441399925719)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM33.A_R2	(1.0, 41.08204029263818)	(2.0, 17.730612550513374)	(3.0, 12.163145338815923)	(4.0, 8.486851292633755)	(5.0, 5.843562034705315)	(6.0, 4.200255015093562)	(7.0, 2.9859810091035537)	(8.0, 2.0734189879319205)	(9.0, 1.4766053639277832)	('>10', 3.807512038589484)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.15001607604714623)	('>10k+', 0.0)
IDDLNTM33.B_R1	(1.0, 37.89596002136085)	(2.0, 18.223595133680153)	(3.0, 12.51161785145944)	(4.0, 8.984801081333917)	(5.0, 6.270199718465433)	(6.0, 4.3391471712015655)	(7.0, 3.319402167883972)	(8.0, 2.278137954727916)	(9.0, 1.688004844080747)	('>10', 4.474423936006873)	('>50', 0.003993841447874707)	('>100', 0.0)	('>500', 0.01071627835129677)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM33.B_R2	(1.0, 39.91567366105524)	(2.0, 17.24535111974694)	(3.0, 11.932281322464172)	(4.0, 8.648728340054763)	(5.0, 6.060682629725003)	(6.0, 4.3509104680404835)	(7.0, 3.12410331358155)	(8.0, 2.3144994148732825)	(9.0, 1.6743526698856739)	('>10', 4.585246711512925)	('>50', 0.0017203351477246)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.14645001391225665)	('>10k+', 0.0)
IDDLNTM33.C_R1	(1.0, 32.111665584818674)	(2.0, 16.604001905040498)	(3.0, 12.180765510489287)	(4.0, 9.242992466077443)	(5.0, 7.061893032641066)	(6.0, 5.344618550606649)	(7.0, 4.060004548162377)	(8.0, 3.1609470933409907)	(9.0, 2.353422007582285)	('>10', 7.847947962464262)	('>50', 0.001593451610167526)	('>100', 0.00672464455451176)	('>500', 0.0)	('>1k', 0.023423242611809655)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM33.C_R2	(1.0, 35.092266775903845)	(2.0, 15.696946813610563)	(3.0, 11.511997767069795)	(4.0, 8.668638128741748)	(5.0, 6.649780052492342)	(6.0, 5.069841163626579)	(7.0, 3.8712551019152697)	(8.0, 3.0314562107552256)	(9.0, 2.2549076147019425)	('>10', 7.977412904004713)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.17549746717796386)
IDDLNTM35_R1	(1.0, 45.76633717499534)	(2.0, 20.173672739597276)	(3.0, 12.146652416850621)	(4.0, 7.357836130094795)	(5.0, 4.761623234518819)	(6.0, 3.032788327632231)	(7.0, 1.9133909120937085)	(8.0, 1.232921400871461)	(9.0, 0.8623774890450459)	('>10', 2.699241692312559)	('>50', 0.03562132570630593)	('>100', 0.002771209059475954)	('>500', 0.014765947222374912)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM35_R2	(1.0, 47.94658412998147)	(2.0, 18.999996076816235)	(3.0, 11.442084256984913)	(4.0, 7.0470613011913406)	(5.0, 4.57806083827681)	(6.0, 3.0359333085480507)	(7.0, 1.8695476190666735)	(8.0, 1.367044641233073)	(9.0, 0.7939986103979675)	('>10', 2.687473079548598)	('>50', 0.039901256741409374)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.19231488121340024)	('>10k+', 0.0)
IDDLNTM37_R1	(1.0, 40.180293232931085)	(2.0, 17.997033897032537)	(3.0, 12.19576508251596)	(4.0, 8.211265504812596)	(5.0, 5.685803838055824)	(6.0, 3.91883178583116)	(7.0, 2.7122227717859877)	(8.0, 1.8962670886916584)	(9.0, 1.3707654495894328)	('>10', 5.05780021802766)	('>50', 0.44980126994442204)	('>100', 0.3039059791948171)	('>500', 0.020243881586911507)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM37_R2	(1.0, 41.210592242443695)	(2.0, 17.483551369749602)	(3.0, 11.613478294505587)	(4.0, 8.174029816555565)	(5.0, 5.580686886368797)	(6.0, 3.8177651423949626)	(7.0, 2.7209689018825154)	(8.0, 1.9118053433642312)	(9.0, 1.3895342877802914)	('>10', 5.146976945762761)	('>50', 0.4272323494888352)	('>100', 0.3067408163917713)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.21663760331131526)
IDDLNTM38_R1	(1.0, 37.46348466679502)	(2.0, 18.12961793026879)	(3.0, 12.382036114025)	(4.0, 8.94551117432379)	(5.0, 6.329207642101379)	(6.0, 4.517991023137853)	(7.0, 3.2648997116778724)	(8.0, 2.40689509278031)	(9.0, 1.6967166346178775)	('>10', 4.855344274367679)	('>50', 0.0)	('>100', 0.008295735904429695)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM38_R2	(1.0, 39.84150904157546)	(2.0, 17.048079470513617)	(3.0, 11.740696870761628)	(4.0, 8.485741069059092)	(5.0, 6.038037316163481)	(6.0, 4.479553500922474)	(7.0, 3.1214736354996626)	(8.0, 2.320079086624987)	(9.0, 1.6716071239987265)	('>10', 5.0316237868745874)	('>50', 0.001629112531272176)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.21996998547501914)
IDDLNTM39_R1	(1.0, 45.42344044780646)	(2.0, 20.396113774564878)	(3.0, 12.167020205254374)	(4.0, 7.530522917619176)	(5.0, 4.684138794911636)	(6.0, 2.9469249591627062)	(7.0, 1.81293234670433)	(8.0, 1.246817341511596)	(9.0, 0.8135302220991653)	('>10', 2.510853914955303)	('>50', 0.29072533938582285)	('>100', 0.17697973602458514)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM39_R2	(1.0, 47.32305588008713)	(2.0, 19.339345936385424)	(3.0, 11.67420047164681)	(4.0, 7.282263701501063)	(5.0, 4.543224682868045)	(6.0, 2.962887172002625)	(7.0, 1.8870609561610543)	(8.0, 1.2225305214291033)	(9.0, 0.7791016975591236)	('>10', 2.4232802839647754)	('>50', 0.2950057039890133)	('>100', 0.17011621619588835)	('>500', 0.0)	('>1k', 0.09792677621003679)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM4.A_R1	(1.0, 41.74156910960164)	(2.0, 18.469123952328395)	(3.0, 11.79168447396381)	(4.0, 8.101304181381188)	(5.0, 5.559991213690873)	(6.0, 3.893206686323851)	(7.0, 2.612410670137649)	(8.0, 1.9247157099730885)	(9.0, 1.3133161797183643)	('>10', 4.302664255664355)	('>50', 0.2385522536117258)	('>100', 0.05146131360506738)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM4.A_R2	(1.0, 43.02837973958485)	(2.0, 17.72552452504067)	(3.0, 11.312265322502329)	(4.0, 7.648124655890864)	(5.0, 5.553114748391793)	(6.0, 3.9197147232616287)	(7.0, 2.723097345582658)	(8.0, 1.9271111363750697)	(9.0, 1.3624400803151446)	('>10', 4.433418942985319)	('>50', 0.21512206076830773)	('>100', 0.06178754329239902)	('>500', 0.0)	('>1k', 0.08989917600902904)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM4.B_R1	(1.0, 57.1634414683704)	(2.0, 20.076717795339796)	(3.0, 10.041038451189525)	(4.0, 5.2325801340992815)	(5.0, 2.8608237870532123)	(6.0, 1.6300814776721146)	(7.0, 0.8795459834862872)	(8.0, 0.5230973316494361)	(9.0, 0.33316301559688183)	('>10', 1.1882985983839163)	('>50', 0.051828411615020914)	('>100', 0.019383545544147156)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM4.B_R2	(1.0, 57.5083545597737)	(2.0, 19.303952151324076)	(3.0, 9.874070256101703)	(4.0, 5.256536138878761)	(5.0, 2.922402228184902)	(6.0, 1.68406018163447)	(7.0, 1.0257015618677396)	(8.0, 0.5874236745809405)	(9.0, 0.3612503223900769)	('>10', 1.3213445782621263)	('>50', 0.07649906227281036)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.07840528472874221)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM4.C_R1	(1.0, 39.61259740172102)	(2.0, 18.890500891036677)	(3.0, 12.536903689178953)	(4.0, 8.533565941852935)	(5.0, 5.820294735485268)	(6.0, 3.986720365987277)	(7.0, 2.8077690276450036)	(8.0, 1.9830560612931325)	(9.0, 1.4395255886264862)	('>10', 4.148891600132518)	('>50', 0.18552221648740722)	('>100', 0.038919401070735694)	('>500', 0.015733079482610622)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM4.C_R2	(1.0, 42.00510400689924)	(2.0, 18.09116699256347)	(3.0, 11.923633368876398)	(4.0, 8.100255885546272)	(5.0, 5.546578588726744)	(6.0, 3.8525118766805484)	(7.0, 2.71978268365572)	(8.0, 1.9465477536261346)	(9.0, 1.2878044496202494)	('>10', 4.116700567642169)	('>50', 0.20229670875269876)	('>100', 0.045233822695555016)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.16238329471484375)	('>10k+', 0.0)
IDDLNTM40_R1	(1.0, 46.42481689874155)	(2.0, 20.70663872835447)	(3.0, 12.380687842822715)	(4.0, 7.355052075610015)	(5.0, 4.611463241910023)	(6.0, 2.8788063127416454)	(7.0, 1.7461795026043385)	(8.0, 1.1805743633166383)	(9.0, 0.7339497711156053)	('>10', 1.9460477915059633)	('>50', 0.021671807171035295)	('>100', 0.0)	('>500', 0.014111664105980916)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM40_R2	(1.0, 45.76582629552966)	(2.0, 20.411332381802527)	(3.0, 12.22874963273933)	(4.0, 7.50684250131568)	(5.0, 4.751423898556426)	(6.0, 3.032564561367268)	(7.0, 1.9676856064786072)	(8.0, 1.1920613763032228)	(9.0, 0.8028692909921404)	('>10', 2.1812848807707734)	('>50', 0.026171075573837667)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.1331884985705168)	('>10k+', 0.0)
IDDLNTM41.A_R1	(1.0, 38.72188677931119)	(2.0, 18.483311005750576)	(3.0, 12.471584255444535)	(4.0, 8.567026429004287)	(5.0, 5.993542283712203)	(6.0, 4.242977666846403)	(7.0, 2.8614567893724163)	(8.0, 2.0153763683746044)	(9.0, 1.5041088695133151)	('>10', 4.546607460226413)	('>50', 0.31818093764046773)	('>100', 0.2739411548035803)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM41.A_R2	(1.0, 40.693688258128944)	(2.0, 17.571376360735126)	(3.0, 11.95190831948872)	(4.0, 8.175810860190971)	(5.0, 5.820500099833399)	(6.0, 4.107162977358863)	(7.0, 2.773654767447427)	(8.0, 2.056780684330077)	(9.0, 1.4055481260548393)	('>10', 4.686277078969144)	('>50', 0.31187867504391387)	('>100', 0.2608225227792404)	('>500', 0.011099521563563237)	('>1k', 0.0)	('>5k', 0.1734917480757341)	('>10k+', 0.0)
IDDLNTM41.B_R1	(1.0, 35.38794578142163)	(2.0, 17.175113116864445)	(3.0, 12.196762727083836)	(4.0, 8.766328281162705)	(5.0, 6.532759334813658)	(6.0, 4.847204917982989)	(7.0, 3.403881827860158)	(8.0, 2.5373905725180967)	(9.0, 1.9803295363878763)	('>10', 6.505049739137222)	('>50', 0.3286262948699463)	('>100', 0.31745683722564394)	('>500', 0.021151032671803682)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM41.B_R2	(1.0, 38.254382291981194)	(2.0, 16.495853900016456)	(3.0, 11.447231968257592)	(4.0, 8.383072418173043)	(5.0, 6.143571353720639)	(6.0, 4.393597804807471)	(7.0, 3.2916494688808986)	(8.0, 2.544202570347627)	(9.0, 1.8180540351230412)	('>10', 6.415266249396039)	('>50', 0.28776861425056116)	('>100', 0.31817380512797283)	('>500', 0.010323935007400774)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.19685158491020835)
IDDLNTM41.C_R1	(1.0, 37.15587033457947)	(2.0, 17.682651957464522)	(3.0, 12.376651608018967)	(4.0, 8.65840897420017)	(5.0, 6.225091298729947)	(6.0, 4.495743730741244)	(7.0, 3.19324094108996)	(8.0, 2.2917893317686335)	(9.0, 1.7662698834057715)	('>10', 5.5460414684977675)	('>50', 0.3068082440650424)	('>100', 0.27637906346918734)	('>500', 0.025053163969415676)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM41.C_R2	(1.0, 38.97595895939248)	(2.0, 16.976643738326644)	(3.0, 11.707139946950797)	(4.0, 8.35539450320073)	(5.0, 6.147209348062234)	(6.0, 4.280868751913542)	(7.0, 3.1904511851578006)	(8.0, 2.2440863171273016)	(9.0, 1.6807374111570734)	('>10', 5.67845152569162)	('>50', 0.3173207648735864)	('>100', 0.26097053185499075)	('>500', 0.010681685971763133)	('>1k', 0.0)	('>5k', 0.1740853303194692)	('>10k+', 0.0)
IDDLNTM42_R1	(1.0, 34.58188163587038)	(2.0, 17.10505776676868)	(3.0, 12.218521809730202)	(4.0, 9.07504629595044)	(5.0, 6.656656075626051)	(6.0, 5.089217325323997)	(7.0, 3.7538983195743385)	(8.0, 2.748996705469495)	(9.0, 2.119464014197834)	('>10', 6.629161574536105)	('>50', 0.007901049286128349)	('>100', 0.002254563560340198)	('>500', 0.01194286410596791)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM42_R2	(1.0, 36.894120770038306)	(2.0, 15.943363977379551)	(3.0, 11.529844227269543)	(4.0, 8.779475945508144)	(5.0, 6.525681944993979)	(6.0, 4.928670435288515)	(7.0, 3.642247416720886)	(8.0, 2.7261398122017226)	(9.0, 2.0700908598037246)	('>10', 6.769134410283923)	('>50', 0.001482421280807872)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.1897477792308867)
IDDLNTM43_R1	(1.0, 38.90380320729554)	(2.0, 18.733609625037076)	(3.0, 12.699631244673906)	(4.0, 8.547882803083521)	(5.0, 5.921939615791528)	(6.0, 4.11796909706081)	(7.0, 2.836238292297052)	(8.0, 2.1454863863265814)	(9.0, 1.4686100661194736)	('>10', 4.502804931781252)	('>50', 0.0773859293105225)	('>100', 0.027605652563421623)	('>500', 0.017033148659332475)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM43_R2	(1.0, 40.38113554516655)	(2.0, 18.153337113899703)	(3.0, 12.102904167507612)	(4.0, 8.237374015593135)	(5.0, 5.823146822710416)	(6.0, 4.087575596065323)	(7.0, 2.9023039840256963)	(8.0, 2.0300195828003624)	(9.0, 1.4916365590647034)	('>10', 4.561925010116159)	('>50', 0.07139655127935032)	('>100', 0.014631344493679251)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.14261370727730024)	('>10k+', 0.0)
IDDLNTM44_R1	(1.0, 39.12954334088576)	(2.0, 18.574443512642883)	(3.0, 12.099228808616155)	(4.0, 8.169253276766852)	(5.0, 5.663016023011875)	(6.0, 3.8693267065646344)	(7.0, 2.793426367585701)	(8.0, 1.9358245268683831)	(9.0, 1.428889582612763)	('>10', 5.449401627637741)	('>50', 0.5407889651501148)	('>100', 0.32954455388017956)	('>500', 0.017312707777007767)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM44_R2	(1.0, 41.06807955654331)	(2.0, 17.512420523492874)	(3.0, 11.55421953284977)	(4.0, 7.974463784155206)	(5.0, 5.646247456042883)	(6.0, 3.9542541357264933)	(7.0, 2.7567120713675317)	(8.0, 1.8647778050299288)	(9.0, 1.3723287394589534)	('>10', 5.275554510674683)	('>50', 0.5265911058347619)	('>100', 0.34242227781149476)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.15192850101207594)	('>10k+', 0.0)
IDDLNTM45_R1	(1.0, 38.99889562216196)	(2.0, 18.44083989840133)	(3.0, 12.628913500786757)	(4.0, 8.828017268589981)	(5.0, 6.105136320735399)	(6.0, 4.388147349062957)	(7.0, 3.059747610660229)	(8.0, 2.155644145299397)	(9.0, 1.5376968448018238)	('>10', 3.827221352547145)	('>50', 0.002361727191845458)	('>100', 0.0060291003495224205)	('>500', 0.021349259411650386)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM45_R2	(1.0, 41.256416245654414)	(2.0, 17.501407011566254)	(3.0, 11.889782699504241)	(4.0, 8.620371339906743)	(5.0, 5.820000776999016)	(6.0, 4.202113110981538)	(7.0, 3.013121346267956)	(8.0, 2.101233090836315)	(9.0, 1.467509200736396)	('>10', 3.9284272519744285)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.19961792557270874)	('>10k+', 0.0)
IDDLNTM46.A_R1	(1.0, 39.626805093586945)	(2.0, 17.903701147011457)	(3.0, 12.146080788497478)	(4.0, 8.502890412509993)	(5.0, 6.033609006227578)	(6.0, 4.237659684917068)	(7.0, 2.9465202997775832)	(8.0, 2.052852979646776)	(9.0, 1.4982537536003242)	('>10', 4.401830993043152)	('>50', 0.2653714262062065)	('>100', 0.3519298683231444)	('>500', 0.032494546652471916)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM46.A_R2	(1.0, 41.27475246821143)	(2.0, 17.393880746676903)	(3.0, 11.76923237185227)	(4.0, 8.177660145988702)	(5.0, 5.762095859124459)	(6.0, 4.114976896786772)	(7.0, 2.8612387489924056)	(8.0, 2.041124436899867)	(9.0, 1.4731972788736851)	('>10', 4.316862184389173)	('>50', 0.2736202616784156)	('>100', 0.3469140197630032)	('>500', 0.013346595506394608)	('>1k', 0.0)	('>5k', 0.1810979852564396)	('>10k+', 0.0)
IDDLNTM46.B_R1	(1.0, 39.71755103483802)	(2.0, 18.623122186629534)	(3.0, 12.526604872335835)	(4.0, 8.7351089180311)	(5.0, 5.962964855970389)	(6.0, 4.215404461101138)	(7.0, 3.003098039064609)	(8.0, 2.10895539917896)	(9.0, 1.4992616380576569)	('>10', 3.5843543209756703)	('>50', 0.003484989360156506)	('>100', 0.0024905110258803174)	('>500', 0.017598773431051495)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM46.B_R2	(1.0, 41.384738014421295)	(2.0, 17.95893182671902)	(3.0, 12.072877509555283)	(4.0, 8.401042840963484)	(5.0, 5.86455430655979)	(6.0, 4.029222135526869)	(7.0, 2.899952375854168)	(8.0, 2.0353975168872007)	(9.0, 1.4555959289168872)	('>10', 3.720117655677739)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.1775698889182683)	('>10k+', 0.0)
IDDLNTM48_R1	(1.0, 38.39225718962491)	(2.0, 17.767223433879447)	(3.0, 12.28948792154106)	(4.0, 8.486984911563935)	(5.0, 5.882769233203292)	(6.0, 4.34155246276906)	(7.0, 3.073835833671856)	(8.0, 2.2234553505431)	(9.0, 1.6106412294971142)	('>10', 5.236043575468974)	('>50', 0.2773353691653869)	('>100', 0.391789973130709)	('>500', 0.026623515941169296)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM48_R2	(1.0, 40.93482597177739)	(2.0, 17.248825224784902)	(3.0, 11.331516159842579)	(4.0, 8.053398108095642)	(5.0, 5.706077548236617)	(6.0, 4.039858894879363)	(7.0, 2.996265356982087)	(8.0, 2.1618551756453255)	(9.0, 1.5301423074576412)	('>10', 5.106504605601657)	('>50', 0.23858536626907645)	('>100', 0.40316585717365294)	('>500', 0.016717584344418522)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.23226183890962152)
IDDLNTM49_R1	(1.0, 46.30187992535135)	(2.0, 20.058641248047156)	(3.0, 12.252935199630448)	(4.0, 7.655965419764349)	(5.0, 4.817351013581683)	(6.0, 3.053754914151199)	(7.0, 2.010893754304279)	(8.0, 1.301007280991093)	(9.0, 0.8599069035326418)	('>10', 1.6775935211289081)	('>50', 0.0)	('>100', 0.010070819516878443)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM49_R2	(1.0, 46.758276082567804)	(2.0, 19.622620349250237)	(3.0, 11.9159691134691)	(4.0, 7.528310273724717)	(5.0, 4.799743478545502)	(6.0, 3.1023812075630084)	(7.0, 2.0041837539281198)	(8.0, 1.3325388617570162)	(9.0, 0.8783319939588153)	('>10', 1.9032739871821893)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.15437089805346021)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM50_R1	(1.0, 50.064008094694564)	(2.0, 21.07512915455274)	(3.0, 12.036359819259685)	(4.0, 6.833332522157678)	(5.0, 4.112324112717218)	(6.0, 2.2381747216282855)	(7.0, 1.4113982827781486)	(8.0, 0.889514733246885)	(9.0, 0.5010249178466927)	('>10', 0.8109104817174136)	('>50', 0.006316951006073783)	('>100', 0.0)	('>500', 0.021506208394604275)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM50_R2	(1.0, 51.96213522239144)	(2.0, 20.076248581845324)	(3.0, 11.462919104455642)	(4.0, 6.71377356561983)	(5.0, 3.942418208652846)	(6.0, 2.2560643592126026)	(7.0, 1.3361518788494646)	(8.0, 0.811001981018826)	(9.0, 0.5346250676055219)	('>10', 0.7534783213015208)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.15118370904701883)	('>5k', 0.0)	('>10k+', 0.0)
