Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
IDDLNTM147_R1	(15.0, 4.0)	(16.0, 81.0)	(17.0, 501.0)	(18.0, 1425.0)	(19.0, 2922.0)	(20.0, 5617.0)	(21.0, 8020.0)	(22.0, 10590.0)	(23.0, 12592.0)	(24.0, 15578.0)	(25.0, 18572.0)	(26.0, 22440.0)	(27.0, 25647.0)	(28.0, 31857.0)	(29.0, 37879.0)	(30.0, 45808.0)	(31.0, 54635.0)	(32.0, 70419.0)	(33.0, 90251.0)	(34.0, 122627.0)	(35.0, 172430.0)	(36.0, 281946.0)	(37.0, 474287.0)	(38.0, 764907.0)	(39.0, 2567792.0)	(40.0, 245654.0)					
IDDLNTM147_R2	(12.0, 3.0)	(13.0, 14.0)	(14.0, 38.0)	(15.0, 302.0)	(16.0, 1954.0)	(17.0, 5428.0)	(18.0, 8023.0)	(19.0, 8983.0)	(20.0, 10049.0)	(21.0, 11350.0)	(22.0, 12836.0)	(23.0, 14600.0)	(24.0, 17558.0)	(25.0, 20625.0)	(26.0, 24778.0)	(27.0, 27944.0)	(28.0, 34252.0)	(29.0, 42080.0)	(30.0, 50043.0)	(31.0, 54208.0)	(32.0, 67709.0)	(33.0, 84702.0)	(34.0, 109192.0)	(35.0, 141925.0)	(36.0, 207792.0)	(37.0, 343231.0)	(38.0, 932183.0)	(39.0, 2750738.0)	(40.0, 101941.0)		
IDDLNTM148_R1	(15.0, 2.0)	(16.0, 35.0)	(17.0, 285.0)	(18.0, 831.0)	(19.0, 1967.0)	(20.0, 3629.0)	(21.0, 5577.0)	(22.0, 7293.0)	(23.0, 8596.0)	(24.0, 10995.0)	(25.0, 13048.0)	(26.0, 15776.0)	(27.0, 18186.0)	(28.0, 22507.0)	(29.0, 27320.0)	(30.0, 33748.0)	(31.0, 41135.0)	(32.0, 56692.0)	(33.0, 79763.0)	(34.0, 117654.0)	(35.0, 164124.0)	(36.0, 241336.0)	(37.0, 295904.0)	(38.0, 398532.0)	(39.0, 1723237.0)	(40.0, 184030.0)					
IDDLNTM148_R2	(12.0, 2.0)	(13.0, 14.0)	(14.0, 23.0)	(15.0, 228.0)	(16.0, 1949.0)	(17.0, 4899.0)	(18.0, 7336.0)	(19.0, 8275.0)	(20.0, 9276.0)	(21.0, 10338.0)	(22.0, 11561.0)	(23.0, 13112.0)	(24.0, 15312.0)	(25.0, 17630.0)	(26.0, 20277.0)	(27.0, 22842.0)	(28.0, 27253.0)	(29.0, 32824.0)	(30.0, 37807.0)	(31.0, 41380.0)	(32.0, 50271.0)	(33.0, 61641.0)	(34.0, 78897.0)	(35.0, 100362.0)	(36.0, 144125.0)	(37.0, 237861.0)	(38.0, 640708.0)	(39.0, 1811901.0)	(40.0, 64098.0)		
IDDLNTM149_R1	(15.0, 2.0)	(16.0, 41.0)	(17.0, 210.0)	(18.0, 663.0)	(19.0, 1557.0)	(20.0, 3070.0)	(21.0, 4610.0)	(22.0, 6314.0)	(23.0, 7584.0)	(24.0, 9379.0)	(25.0, 11213.0)	(26.0, 13743.0)	(27.0, 15984.0)	(28.0, 20176.0)	(29.0, 24093.0)	(30.0, 30653.0)	(31.0, 38558.0)	(32.0, 54171.0)	(33.0, 80185.0)	(34.0, 118317.0)	(35.0, 159979.0)	(36.0, 225785.0)	(37.0, 261948.0)	(38.0, 362095.0)	(39.0, 1657951.0)	(40.0, 185292.0)					
IDDLNTM149_R2	(12.0, 2.0)	(13.0, 10.0)	(14.0, 30.0)	(15.0, 171.0)	(16.0, 1183.0)	(17.0, 3442.0)	(18.0, 5283.0)	(19.0, 5789.0)	(20.0, 6971.0)	(21.0, 7709.0)	(22.0, 8911.0)	(23.0, 9874.0)	(24.0, 11861.0)	(25.0, 13864.0)	(26.0, 16445.0)	(27.0, 18985.0)	(28.0, 23249.0)	(29.0, 28108.0)	(30.0, 32886.0)	(31.0, 36519.0)	(32.0, 45943.0)	(33.0, 57360.0)	(34.0, 74570.0)	(35.0, 99435.0)	(36.0, 153083.0)	(37.0, 279691.0)	(38.0, 650460.0)	(39.0, 1645402.0)	(40.0, 56337.0)		
IDDLNTM15.A_R1	(15.0, 1.0)	(16.0, 50.0)	(17.0, 356.0)	(18.0, 1102.0)	(19.0, 2608.0)	(20.0, 5057.0)	(21.0, 7382.0)	(22.0, 9927.0)	(23.0, 11831.0)	(24.0, 14554.0)	(25.0, 17465.0)	(26.0, 20810.0)	(27.0, 23557.0)	(28.0, 29104.0)	(29.0, 34510.0)	(30.0, 42051.0)	(31.0, 51720.0)	(32.0, 68565.0)	(33.0, 93992.0)	(34.0, 136952.0)	(35.0, 200427.0)	(36.0, 330484.0)	(37.0, 471438.0)	(38.0, 589870.0)	(39.0, 2025736.0)	(40.0, 199061.0)					
IDDLNTM15.A_R2	(12.0, 2.0)	(13.0, 15.0)	(14.0, 55.0)	(15.0, 371.0)	(16.0, 2626.0)	(17.0, 6960.0)	(18.0, 10444.0)	(19.0, 11095.0)	(20.0, 12532.0)	(21.0, 13904.0)	(22.0, 15080.0)	(23.0, 16717.0)	(24.0, 19326.0)	(25.0, 21798.0)	(26.0, 25976.0)	(27.0, 29076.0)	(28.0, 34891.0)	(29.0, 41465.0)	(30.0, 48218.0)	(31.0, 52204.0)	(32.0, 63960.0)	(33.0, 79180.0)	(34.0, 101088.0)	(35.0, 130633.0)	(36.0, 191489.0)	(37.0, 326299.0)	(38.0, 893963.0)	(39.0, 2167521.0)	(40.0, 71722.0)		
IDDLNTM15.B_R1	(14.0, 1.0)	(15.0, 2.0)	(16.0, 67.0)	(17.0, 455.0)	(18.0, 1482.0)	(19.0, 3559.0)	(20.0, 6746.0)	(21.0, 10338.0)	(22.0, 13536.0)	(23.0, 16100.0)	(24.0, 20175.0)	(25.0, 23760.0)	(26.0, 28004.0)	(27.0, 32575.0)	(28.0, 40062.0)	(29.0, 48363.0)	(30.0, 58502.0)	(31.0, 70792.0)	(32.0, 93971.0)	(33.0, 129422.0)	(34.0, 190275.0)	(35.0, 276529.0)	(36.0, 442596.0)	(37.0, 605231.0)	(38.0, 757065.0)	(39.0, 2610395.0)	(40.0, 234218.0)				
IDDLNTM15.B_R2	(11.0, 1.0)	(12.0, 2.0)	(13.0, 31.0)	(14.0, 60.0)	(15.0, 515.0)	(16.0, 3774.0)	(17.0, 9854.0)	(18.0, 14527.0)	(19.0, 15649.0)	(20.0, 17199.0)	(21.0, 18654.0)	(22.0, 21085.0)	(23.0, 23239.0)	(24.0, 26740.0)	(25.0, 30944.0)	(26.0, 35205.0)	(27.0, 39841.0)	(28.0, 46986.0)	(29.0, 56123.0)	(30.0, 65061.0)	(31.0, 71051.0)	(32.0, 87349.0)	(33.0, 107269.0)	(34.0, 135857.0)	(35.0, 174886.0)	(36.0, 252936.0)	(37.0, 419081.0)	(38.0, 1148252.0)	(39.0, 2802474.0)	(40.0, 89576.0)	
IDDLNTM152_R1	(16.0, 38.0)	(17.0, 249.0)	(18.0, 777.0)	(19.0, 1907.0)	(20.0, 3492.0)	(21.0, 5386.0)	(22.0, 7171.0)	(23.0, 8417.0)	(24.0, 10650.0)	(25.0, 13023.0)	(26.0, 15755.0)	(27.0, 18489.0)	(28.0, 23399.0)	(29.0, 28821.0)	(30.0, 36167.0)	(31.0, 47256.0)	(32.0, 69500.0)	(33.0, 105256.0)	(34.0, 157226.0)	(35.0, 202905.0)	(36.0, 245796.0)	(37.0, 257781.0)	(38.0, 391215.0)	(39.0, 1837829.0)	(40.0, 187473.0)						
IDDLNTM152_R2	(11.0, 1.0)	(12.0, 2.0)	(13.0, 14.0)	(14.0, 38.0)	(15.0, 232.0)	(16.0, 1855.0)	(17.0, 4780.0)	(18.0, 7301.0)	(19.0, 7993.0)	(20.0, 9269.0)	(21.0, 10238.0)	(22.0, 11421.0)	(23.0, 12707.0)	(24.0, 14898.0)	(25.0, 17555.0)	(26.0, 20284.0)	(27.0, 22911.0)	(28.0, 27552.0)	(29.0, 33336.0)	(30.0, 38727.0)	(31.0, 41897.0)	(32.0, 51079.0)	(33.0, 62933.0)	(34.0, 79988.0)	(35.0, 103428.0)	(36.0, 148859.0)	(37.0, 244205.0)	(38.0, 664225.0)	(39.0, 1965244.0)	(40.0, 73006.0)	
IDDLNTM18.A_R1	(15.0, 3.0)	(16.0, 48.0)	(17.0, 298.0)	(18.0, 894.0)	(19.0, 2214.0)	(20.0, 3960.0)	(21.0, 6351.0)	(22.0, 8278.0)	(23.0, 9786.0)	(24.0, 12260.0)	(25.0, 14427.0)	(26.0, 17206.0)	(27.0, 19842.0)	(28.0, 24480.0)	(29.0, 29203.0)	(30.0, 35465.0)	(31.0, 42784.0)	(32.0, 56126.0)	(33.0, 74325.0)	(34.0, 106264.0)	(35.0, 152644.0)	(36.0, 256574.0)	(37.0, 392238.0)	(38.0, 533552.0)	(39.0, 1723137.0)	(40.0, 176874.0)					
IDDLNTM18.A_R2	(12.0, 2.0)	(13.0, 11.0)	(14.0, 30.0)	(15.0, 252.0)	(16.0, 1961.0)	(17.0, 5287.0)	(18.0, 7734.0)	(19.0, 8408.0)	(20.0, 9579.0)	(21.0, 10793.0)	(22.0, 12137.0)	(23.0, 13358.0)	(24.0, 15705.0)	(25.0, 18560.0)	(26.0, 21319.0)	(27.0, 24294.0)	(28.0, 29603.0)	(29.0, 35356.0)	(30.0, 41346.0)	(31.0, 45320.0)	(32.0, 56293.0)	(33.0, 69261.0)	(34.0, 88323.0)	(35.0, 115908.0)	(36.0, 173520.0)	(37.0, 307140.0)	(38.0, 761186.0)	(39.0, 1769743.0)	(40.0, 56804.0)		
IDDLNTM18.B_R1	(15.0, 4.0)	(16.0, 75.0)	(17.0, 486.0)	(18.0, 1524.0)	(19.0, 3532.0)	(20.0, 6641.0)	(21.0, 9739.0)	(22.0, 12641.0)	(23.0, 15697.0)	(24.0, 19307.0)	(25.0, 22960.0)	(26.0, 27215.0)	(27.0, 31678.0)	(28.0, 38251.0)	(29.0, 46195.0)	(30.0, 56074.0)	(31.0, 67076.0)	(32.0, 87665.0)	(33.0, 116866.0)	(34.0, 166045.0)	(35.0, 240653.0)	(36.0, 398318.0)	(37.0, 602245.0)	(38.0, 819240.0)	(39.0, 2697532.0)	(40.0, 252421.0)					
IDDLNTM18.B_R2	(11.0, 1.0)	(12.0, 0.0)	(13.0, 18.0)	(14.0, 67.0)	(15.0, 378.0)	(16.0, 3046.0)	(17.0, 7791.0)	(18.0, 11338.0)	(19.0, 12542.0)	(20.0, 13976.0)	(21.0, 15708.0)	(22.0, 17604.0)	(23.0, 19689.0)	(24.0, 23376.0)	(25.0, 26780.0)	(26.0, 30746.0)	(27.0, 35108.0)	(28.0, 42049.0)	(29.0, 50792.0)	(30.0, 59923.0)	(31.0, 64385.0)	(32.0, 79447.0)	(33.0, 98492.0)	(34.0, 126461.0)	(35.0, 163933.0)	(36.0, 239472.0)	(37.0, 395215.0)	(38.0, 1117624.0)	(39.0, 2986892.0)	(40.0, 97227.0)	
IDDLNTM19.A_R1	(15.0, 4.0)	(16.0, 93.0)	(17.0, 535.0)	(18.0, 1353.0)	(19.0, 2806.0)	(20.0, 5081.0)	(21.0, 7945.0)	(22.0, 10241.0)	(23.0, 12546.0)	(24.0, 15664.0)	(25.0, 19591.0)	(26.0, 23934.0)	(27.0, 28498.0)	(28.0, 35886.0)	(29.0, 45009.0)	(30.0, 56029.0)	(31.0, 71143.0)	(32.0, 100828.0)	(33.0, 149704.0)	(34.0, 231345.0)	(35.0, 330129.0)	(36.0, 498287.0)	(37.0, 593096.0)	(38.0, 686409.0)	(39.0, 2780308.0)	(40.0, 289002.0)					
IDDLNTM19.A_R2	(11.0, 1.0)	(12.0, 5.0)	(13.0, 21.0)	(14.0, 65.0)	(15.0, 533.0)	(16.0, 3627.0)	(17.0, 8744.0)	(18.0, 12090.0)	(19.0, 12511.0)	(20.0, 13908.0)	(21.0, 15331.0)	(22.0, 17276.0)	(23.0, 19094.0)	(24.0, 22474.0)	(25.0, 25887.0)	(26.0, 30262.0)	(27.0, 34395.0)	(28.0, 41338.0)	(29.0, 50269.0)	(30.0, 59249.0)	(31.0, 63917.0)	(32.0, 80289.0)	(33.0, 99049.0)	(34.0, 127513.0)	(35.0, 165112.0)	(36.0, 244234.0)	(37.0, 411685.0)	(38.0, 1206993.0)	(39.0, 3126063.0)	(40.0, 103531.0)	
IDDLNTM19.B_R1	(15.0, 8.0)	(16.0, 84.0)	(17.0, 561.0)	(18.0, 1903.0)	(19.0, 4431.0)	(20.0, 8460.0)	(21.0, 12748.0)	(22.0, 16547.0)	(23.0, 20077.0)	(24.0, 25347.0)	(25.0, 30242.0)	(26.0, 36451.0)	(27.0, 42877.0)	(28.0, 52752.0)	(29.0, 65391.0)	(30.0, 83938.0)	(31.0, 111682.0)	(32.0, 175825.0)	(33.0, 272143.0)	(34.0, 379238.0)	(35.0, 424752.0)	(36.0, 435101.0)	(37.0, 414370.0)	(38.0, 641897.0)	(39.0, 2660491.0)	(40.0, 268298.0)					
IDDLNTM19.B_R2	(11.0, 1.0)	(12.0, 4.0)	(13.0, 15.0)	(14.0, 60.0)	(15.0, 542.0)	(16.0, 3596.0)	(17.0, 9474.0)	(18.0, 14058.0)	(19.0, 15164.0)	(20.0, 16994.0)	(21.0, 18783.0)	(22.0, 21168.0)	(23.0, 23261.0)	(24.0, 27494.0)	(25.0, 31549.0)	(26.0, 36610.0)	(27.0, 41043.0)	(28.0, 49236.0)	(29.0, 58880.0)	(30.0, 68838.0)	(31.0, 74057.0)	(32.0, 91487.0)	(33.0, 112067.0)	(34.0, 142349.0)	(35.0, 182313.0)	(36.0, 262402.0)	(37.0, 428766.0)	(38.0, 1175069.0)	(39.0, 3172713.0)	(40.0, 107621.0)	
IDDLNTM19.C_R1	(15.0, 2.0)	(16.0, 78.0)	(17.0, 381.0)	(18.0, 1218.0)	(19.0, 3017.0)	(20.0, 5744.0)	(21.0, 8771.0)	(22.0, 11443.0)	(23.0, 13836.0)	(24.0, 17077.0)	(25.0, 20455.0)	(26.0, 24889.0)	(27.0, 29110.0)	(28.0, 36690.0)	(29.0, 44855.0)	(30.0, 56447.0)	(31.0, 74080.0)	(32.0, 110092.0)	(33.0, 167254.0)	(34.0, 244237.0)	(35.0, 313880.0)	(36.0, 387681.0)	(37.0, 375837.0)	(38.0, 512129.0)	(39.0, 2200082.0)	(40.0, 243199.0)					
IDDLNTM19.C_R2	(12.0, 3.0)	(13.0, 33.0)	(14.0, 45.0)	(15.0, 424.0)	(16.0, 2985.0)	(17.0, 7717.0)	(18.0, 11591.0)	(19.0, 12692.0)	(20.0, 13900.0)	(21.0, 15305.0)	(22.0, 17122.0)	(23.0, 19103.0)	(24.0, 22121.0)	(25.0, 25247.0)	(26.0, 29124.0)	(27.0, 33031.0)	(28.0, 39021.0)	(29.0, 46958.0)	(30.0, 54552.0)	(31.0, 58951.0)	(32.0, 72861.0)	(33.0, 89726.0)	(34.0, 114207.0)	(35.0, 147330.0)	(36.0, 213539.0)	(37.0, 355128.0)	(38.0, 978147.0)	(39.0, 2446289.0)	(40.0, 75332.0)		
IDDLNTM1_R1	(15.0, 3.0)	(16.0, 43.0)	(17.0, 312.0)	(18.0, 899.0)	(19.0, 1769.0)	(20.0, 3141.0)	(21.0, 4807.0)	(22.0, 6652.0)	(23.0, 8241.0)	(24.0, 10550.0)	(25.0, 13159.0)	(26.0, 15660.0)	(27.0, 18568.0)	(28.0, 23401.0)	(29.0, 28591.0)	(30.0, 35339.0)	(31.0, 44328.0)	(32.0, 61133.0)	(33.0, 88475.0)	(34.0, 135447.0)	(35.0, 200347.0)	(36.0, 321206.0)	(37.0, 401591.0)	(38.0, 410092.0)	(39.0, 1188952.0)	(40.0, 112426.0)					
IDDLNTM1_R2	(11.0, 1.0)	(12.0, 2.0)	(13.0, 7.0)	(14.0, 17.0)	(15.0, 166.0)	(16.0, 1251.0)	(17.0, 3228.0)	(18.0, 4628.0)	(19.0, 5165.0)	(20.0, 5858.0)	(21.0, 6694.0)	(22.0, 7739.0)	(23.0, 8398.0)	(24.0, 10349.0)	(25.0, 11936.0)	(26.0, 13968.0)	(27.0, 15991.0)	(28.0, 19413.0)	(29.0, 24018.0)	(30.0, 28761.0)	(31.0, 30542.0)	(32.0, 38369.0)	(33.0, 48005.0)	(34.0, 62025.0)	(35.0, 81122.0)	(36.0, 118651.0)	(37.0, 201308.0)	(38.0, 627436.0)	(39.0, 1698232.0)	(40.0, 61852.0)	
IDDLNTM2.A_R1	(16.0, 24.0)	(17.0, 181.0)	(18.0, 536.0)	(19.0, 1237.0)	(20.0, 2139.0)	(21.0, 3244.0)	(22.0, 4625.0)	(23.0, 5695.0)	(24.0, 7057.0)	(25.0, 8957.0)	(26.0, 10785.0)	(27.0, 12762.0)	(28.0, 16012.0)	(29.0, 19168.0)	(30.0, 24201.0)	(31.0, 29567.0)	(32.0, 39678.0)	(33.0, 55354.0)	(34.0, 83319.0)	(35.0, 122264.0)	(36.0, 211679.0)	(37.0, 319765.0)	(38.0, 345106.0)	(39.0, 782874.0)	(40.0, 67336.0)						
IDDLNTM2.A_R2	(13.0, 5.0)	(14.0, 10.0)	(15.0, 122.0)	(16.0, 892.0)	(17.0, 2269.0)	(18.0, 3252.0)	(19.0, 3589.0)	(20.0, 4296.0)	(21.0, 4871.0)	(22.0, 5456.0)	(23.0, 6198.0)	(24.0, 7549.0)	(25.0, 8937.0)	(26.0, 10543.0)	(27.0, 12090.0)	(28.0, 14950.0)	(29.0, 18194.0)	(30.0, 21446.0)	(31.0, 23257.0)	(32.0, 29591.0)	(33.0, 36817.0)	(34.0, 47378.0)	(35.0, 61796.0)	(36.0, 91200.0)	(37.0, 159855.0)	(38.0, 477356.0)	(39.0, 1083726.0)	(40.0, 37920.0)			
IDDLNTM2.B_R1	(16.0, 34.0)	(17.0, 215.0)	(18.0, 633.0)	(19.0, 1437.0)	(20.0, 2760.0)	(21.0, 4275.0)	(22.0, 5761.0)	(23.0, 7309.0)	(24.0, 9331.0)	(25.0, 11706.0)	(26.0, 14358.0)	(27.0, 17236.0)	(28.0, 21801.0)	(29.0, 27310.0)	(30.0, 35340.0)	(31.0, 47478.0)	(32.0, 75101.0)	(33.0, 119883.0)	(34.0, 181028.0)	(35.0, 225505.0)	(36.0, 256922.0)	(37.0, 227269.0)	(38.0, 251356.0)	(39.0, 915043.0)	(40.0, 86597.0)						
IDDLNTM2.B_R2	(13.0, 4.0)	(14.0, 13.0)	(15.0, 101.0)	(16.0, 864.0)	(17.0, 2464.0)	(18.0, 3588.0)	(19.0, 4100.0)	(20.0, 4696.0)	(21.0, 5606.0)	(22.0, 6329.0)	(23.0, 7159.0)	(24.0, 8605.0)	(25.0, 10127.0)	(26.0, 11838.0)	(27.0, 13495.0)	(28.0, 16458.0)	(29.0, 20314.0)	(30.0, 24095.0)	(31.0, 25951.0)	(32.0, 31987.0)	(33.0, 40135.0)	(34.0, 50982.0)	(35.0, 66901.0)	(36.0, 97800.0)	(37.0, 164928.0)	(38.0, 511571.0)	(39.0, 1368833.0)	(40.0, 46744.0)			
IDDLNTM2.C_R1	(15.0, 1.0)	(16.0, 48.0)	(17.0, 302.0)	(18.0, 826.0)	(19.0, 1893.0)	(20.0, 3445.0)	(21.0, 5387.0)	(22.0, 7244.0)	(23.0, 8921.0)	(24.0, 11250.0)	(25.0, 14041.0)	(26.0, 17645.0)	(27.0, 21448.0)	(28.0, 26732.0)	(29.0, 34464.0)	(30.0, 45710.0)	(31.0, 64670.0)	(32.0, 103873.0)	(33.0, 156790.0)	(34.0, 211911.0)	(35.0, 239127.0)	(36.0, 259534.0)	(37.0, 240111.0)	(38.0, 370456.0)	(39.0, 1655970.0)	(40.0, 182441.0)					
IDDLNTM2.C_R2	(13.0, 8.0)	(14.0, 29.0)	(15.0, 285.0)	(16.0, 1936.0)	(17.0, 4695.0)	(18.0, 6412.0)	(19.0, 7073.0)	(20.0, 7709.0)	(21.0, 8504.0)	(22.0, 9768.0)	(23.0, 10683.0)	(24.0, 12754.0)	(25.0, 14899.0)	(26.0, 17402.0)	(27.0, 19517.0)	(28.0, 23947.0)	(29.0, 29464.0)	(30.0, 35071.0)	(31.0, 37861.0)	(32.0, 47490.0)	(33.0, 58338.0)	(34.0, 75697.0)	(35.0, 98999.0)	(36.0, 146659.0)	(37.0, 250851.0)	(38.0, 730419.0)	(39.0, 1953423.0)	(40.0, 74347.0)			
IDDLNTM20_R1	(15.0, 8.0)	(16.0, 108.0)	(17.0, 592.0)	(18.0, 1842.0)	(19.0, 4255.0)	(20.0, 7875.0)	(21.0, 11934.0)	(22.0, 15551.0)	(23.0, 18407.0)	(24.0, 22706.0)	(25.0, 27008.0)	(26.0, 31914.0)	(27.0, 36556.0)	(28.0, 44612.0)	(29.0, 53158.0)	(30.0, 64342.0)	(31.0, 77206.0)	(32.0, 100629.0)	(33.0, 134332.0)	(34.0, 192666.0)	(35.0, 277864.0)	(36.0, 465554.0)	(37.0, 713518.0)	(38.0, 923689.0)	(39.0, 2803727.0)	(40.0, 249140.0)					
IDDLNTM20_R2	(12.0, 3.0)	(13.0, 30.0)	(14.0, 70.0)	(15.0, 514.0)	(16.0, 3740.0)	(17.0, 10214.0)	(18.0, 15158.0)	(19.0, 16483.0)	(20.0, 18369.0)	(21.0, 20117.0)	(22.0, 22204.0)	(23.0, 24763.0)	(24.0, 28717.0)	(25.0, 33256.0)	(26.0, 37867.0)	(27.0, 42594.0)	(28.0, 50860.0)	(29.0, 60736.0)	(30.0, 70874.0)	(31.0, 76854.0)	(32.0, 94096.0)	(33.0, 115923.0)	(34.0, 146559.0)	(35.0, 188622.0)	(36.0, 272384.0)	(37.0, 449736.0)	(38.0, 1241705.0)	(39.0, 3137861.0)	(40.0, 98884.0)		
IDDLNTM21.A_R1	(15.0, 1.0)	(16.0, 79.0)	(17.0, 481.0)	(18.0, 1462.0)	(19.0, 3174.0)	(20.0, 5580.0)	(21.0, 8574.0)	(22.0, 11644.0)	(23.0, 14336.0)	(24.0, 18266.0)	(25.0, 21741.0)	(26.0, 27438.0)	(27.0, 32425.0)	(28.0, 40721.0)	(29.0, 49593.0)	(30.0, 61545.0)	(31.0, 76858.0)	(32.0, 106304.0)	(33.0, 153591.0)	(34.0, 229445.0)	(35.0, 324501.0)	(36.0, 474342.0)	(37.0, 558751.0)	(38.0, 656263.0)	(39.0, 2626521.0)	(40.0, 272479.0)					
IDDLNTM21.A_R2	(12.0, 2.0)	(13.0, 17.0)	(14.0, 49.0)	(15.0, 392.0)	(16.0, 2690.0)	(17.0, 7161.0)	(18.0, 10616.0)	(19.0, 11326.0)	(20.0, 12705.0)	(21.0, 14113.0)	(22.0, 16392.0)	(23.0, 18449.0)	(24.0, 22287.0)	(25.0, 26240.0)	(26.0, 31339.0)	(27.0, 36099.0)	(28.0, 43468.0)	(29.0, 52719.0)	(30.0, 62573.0)	(31.0, 68393.0)	(32.0, 85643.0)	(33.0, 106140.0)	(34.0, 135346.0)	(35.0, 175323.0)	(36.0, 258618.0)	(37.0, 447969.0)	(38.0, 1194743.0)	(39.0, 2837432.0)	(40.0, 97871.0)		
IDDLNTM21.B_R1	(15.0, 1.0)	(16.0, 39.0)	(17.0, 284.0)	(18.0, 828.0)	(19.0, 2172.0)	(20.0, 4447.0)	(21.0, 6638.0)	(22.0, 8781.0)	(23.0, 10922.0)	(24.0, 13798.0)	(25.0, 16845.0)	(26.0, 20977.0)	(27.0, 25103.0)	(28.0, 32774.0)	(29.0, 42694.0)	(30.0, 59335.0)	(31.0, 92375.0)	(32.0, 174276.0)	(33.0, 266013.0)	(34.0, 308539.0)	(35.0, 273783.0)	(36.0, 241143.0)	(37.0, 243916.0)	(38.0, 446408.0)	(39.0, 2112890.0)	(40.0, 234870.0)					
IDDLNTM21.B_R2	(12.0, 5.0)	(13.0, 15.0)	(14.0, 50.0)	(15.0, 367.0)	(16.0, 2513.0)	(17.0, 6937.0)	(18.0, 10182.0)	(19.0, 10927.0)	(20.0, 12010.0)	(21.0, 13170.0)	(22.0, 14626.0)	(23.0, 15970.0)	(24.0, 18278.0)	(25.0, 21024.0)	(26.0, 24122.0)	(27.0, 27472.0)	(28.0, 32760.0)	(29.0, 39466.0)	(30.0, 46236.0)	(31.0, 49910.0)	(32.0, 61282.0)	(33.0, 76302.0)	(34.0, 98528.0)	(35.0, 128920.0)	(36.0, 191142.0)	(37.0, 326493.0)	(38.0, 952045.0)	(39.0, 2385661.0)	(40.0, 73438.0)		
IDDLNTM22.A_R1	(15.0, 5.0)	(16.0, 79.0)	(17.0, 437.0)	(18.0, 1342.0)	(19.0, 3112.0)	(20.0, 5640.0)	(21.0, 8302.0)	(22.0, 11139.0)	(23.0, 13132.0)	(24.0, 16365.0)	(25.0, 19373.0)	(26.0, 23272.0)	(27.0, 27073.0)	(28.0, 33149.0)	(29.0, 40095.0)	(30.0, 48498.0)	(31.0, 59057.0)	(32.0, 77163.0)	(33.0, 103932.0)	(34.0, 148051.0)	(35.0, 213621.0)	(36.0, 360539.0)	(37.0, 566814.0)	(38.0, 743342.0)	(39.0, 2390479.0)	(40.0, 233377.0)					
IDDLNTM22.A_R2	(12.0, 2.0)	(13.0, 17.0)	(14.0, 51.0)	(15.0, 334.0)	(16.0, 2669.0)	(17.0, 6733.0)	(18.0, 10422.0)	(19.0, 11665.0)	(20.0, 13048.0)	(21.0, 14694.0)	(22.0, 16581.0)	(23.0, 18515.0)	(24.0, 21682.0)	(25.0, 25211.0)	(26.0, 28996.0)	(27.0, 32954.0)	(28.0, 39103.0)	(29.0, 47460.0)	(30.0, 55047.0)	(31.0, 59780.0)	(32.0, 72694.0)	(33.0, 89804.0)	(34.0, 114003.0)	(35.0, 146133.0)	(36.0, 210722.0)	(37.0, 345282.0)	(38.0, 959056.0)	(39.0, 2714620.0)	(40.0, 90110.0)		
IDDLNTM22.B_R1	(16.0, 55.0)	(17.0, 388.0)	(18.0, 1307.0)	(19.0, 3042.0)	(20.0, 5819.0)	(21.0, 8653.0)	(22.0, 11136.0)	(23.0, 13622.0)	(24.0, 16586.0)	(25.0, 19593.0)	(26.0, 23538.0)	(27.0, 27766.0)	(28.0, 33992.0)	(29.0, 41355.0)	(30.0, 51261.0)	(31.0, 63717.0)	(32.0, 88616.0)	(33.0, 129046.0)	(34.0, 194670.0)	(35.0, 265377.0)	(36.0, 381047.0)	(37.0, 447530.0)	(38.0, 555169.0)	(39.0, 2259022.0)	(40.0, 234223.0)						
IDDLNTM22.B_R2	(11.0, 1.0)	(12.0, 5.0)	(13.0, 24.0)	(14.0, 56.0)	(15.0, 373.0)	(16.0, 3102.0)	(17.0, 7727.0)	(18.0, 10939.0)	(19.0, 11999.0)	(20.0, 13328.0)	(21.0, 14349.0)	(22.0, 16112.0)	(23.0, 17829.0)	(24.0, 21007.0)	(25.0, 23860.0)	(26.0, 27293.0)	(27.0, 30962.0)	(28.0, 37512.0)	(29.0, 44643.0)	(30.0, 52295.0)	(31.0, 56647.0)	(32.0, 69798.0)	(33.0, 86470.0)	(34.0, 110376.0)	(35.0, 142002.0)	(36.0, 207308.0)	(37.0, 348841.0)	(38.0, 956084.0)	(39.0, 2477567.0)	(40.0, 88021.0)	
