Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
IDDLNTM111_R1	(15.0, 4.0)	(16.0, 79.0)	(17.0, 454.0)	(18.0, 1427.0)	(19.0, 2929.0)	(20.0, 5440.0)	(21.0, 7909.0)	(22.0, 10349.0)	(23.0, 12702.0)	(24.0, 15569.0)	(25.0, 18614.0)	(26.0, 22302.0)	(27.0, 26194.0)	(28.0, 32435.0)	(29.0, 39518.0)	(30.0, 48177.0)	(31.0, 58387.0)	(32.0, 78265.0)	(33.0, 106649.0)	(34.0, 154282.0)	(35.0, 220797.0)	(36.0, 353018.0)	(37.0, 502944.0)	(38.0, 663371.0)	(39.0, 2532883.0)	(40.0, 260991.0)					
IDDLNTM111_R2	(12.0, 2.0)	(13.0, 23.0)	(14.0, 60.0)	(15.0, 403.0)	(16.0, 2701.0)	(17.0, 7326.0)	(18.0, 10717.0)	(19.0, 11827.0)	(20.0, 13331.0)	(21.0, 14738.0)	(22.0, 16694.0)	(23.0, 18381.0)	(24.0, 21312.0)	(25.0, 24963.0)	(26.0, 28920.0)	(27.0, 33099.0)	(28.0, 38819.0)	(29.0, 46908.0)	(30.0, 54609.0)	(31.0, 58865.0)	(32.0, 72517.0)	(33.0, 89573.0)	(34.0, 114309.0)	(35.0, 147412.0)	(36.0, 213459.0)	(37.0, 352492.0)	(38.0, 971662.0)	(39.0, 2721582.0)	(40.0, 88985.0)		
IDDLNTM112_R1	(16.0, 67.0)	(17.0, 353.0)	(18.0, 1261.0)	(19.0, 3080.0)	(20.0, 5779.0)	(21.0, 8297.0)	(22.0, 10715.0)	(23.0, 12919.0)	(24.0, 15787.0)	(25.0, 18557.0)	(26.0, 21930.0)	(27.0, 25271.0)	(28.0, 30554.0)	(29.0, 36358.0)	(30.0, 44234.0)	(31.0, 53541.0)	(32.0, 69805.0)	(33.0, 93019.0)	(34.0, 131070.0)	(35.0, 183544.0)	(36.0, 289319.0)	(37.0, 411883.0)	(38.0, 636944.0)	(39.0, 2592406.0)	(40.0, 258281.0)						
IDDLNTM112_R2	(12.0, 3.0)	(13.0, 16.0)	(14.0, 56.0)	(15.0, 395.0)	(16.0, 2813.0)	(17.0, 7496.0)	(18.0, 10993.0)	(19.0, 12095.0)	(20.0, 13354.0)	(21.0, 15136.0)	(22.0, 16855.0)	(23.0, 18816.0)	(24.0, 22032.0)	(25.0, 25141.0)	(26.0, 29488.0)	(27.0, 32799.0)	(28.0, 39421.0)	(29.0, 47361.0)	(30.0, 55050.0)	(31.0, 59592.0)	(32.0, 73776.0)	(33.0, 90300.0)	(34.0, 115464.0)	(35.0, 149433.0)	(36.0, 215525.0)	(37.0, 355820.0)	(38.0, 931327.0)	(39.0, 2534936.0)	(40.0, 79481.0)		
IDDLNTM113_R1	(16.0, 15.0)	(17.0, 127.0)	(18.0, 470.0)	(19.0, 1189.0)	(20.0, 2326.0)	(21.0, 3426.0)	(22.0, 4378.0)	(23.0, 5363.0)	(24.0, 6747.0)	(25.0, 8125.0)	(26.0, 9739.0)	(27.0, 11563.0)	(28.0, 14599.0)	(29.0, 18431.0)	(30.0, 23710.0)	(31.0, 33040.0)	(32.0, 53356.0)	(33.0, 78813.0)	(34.0, 104275.0)	(35.0, 113201.0)	(36.0, 119026.0)	(37.0, 124948.0)	(38.0, 232287.0)	(39.0, 1093238.0)	(40.0, 117972.0)						
IDDLNTM113_R2	(12.0, 2.0)	(13.0, 11.0)	(14.0, 22.0)	(15.0, 239.0)	(16.0, 1594.0)	(17.0, 4058.0)	(18.0, 5798.0)	(19.0, 6349.0)	(20.0, 6738.0)	(21.0, 7445.0)	(22.0, 8358.0)	(23.0, 9120.0)	(24.0, 10371.0)	(25.0, 12189.0)	(26.0, 14065.0)	(27.0, 15553.0)	(28.0, 18760.0)	(29.0, 22342.0)	(30.0, 25317.0)	(31.0, 27773.0)	(32.0, 34325.0)	(33.0, 42485.0)	(34.0, 53622.0)	(35.0, 69422.0)	(36.0, 101887.0)	(37.0, 173035.0)	(38.0, 435700.0)	(39.0, 1039132.0)	(40.0, 34652.0)		
IDDLNTM116_R1	(16.0, 60.0)	(17.0, 369.0)	(18.0, 1119.0)	(19.0, 2570.0)	(20.0, 4977.0)	(21.0, 7338.0)	(22.0, 9665.0)	(23.0, 11819.0)	(24.0, 14725.0)	(25.0, 17947.0)	(26.0, 22046.0)	(27.0, 25871.0)	(28.0, 32754.0)	(29.0, 40950.0)	(30.0, 53837.0)	(31.0, 75975.0)	(32.0, 123307.0)	(33.0, 183413.0)	(34.0, 239832.0)	(35.0, 256736.0)	(36.0, 262431.0)	(37.0, 262536.0)	(38.0, 457233.0)	(39.0, 1951275.0)	(40.0, 205323.0)						
IDDLNTM116_R2	(13.0, 14.0)	(14.0, 55.0)	(15.0, 347.0)	(16.0, 2486.0)	(17.0, 6442.0)	(18.0, 9369.0)	(19.0, 9865.0)	(20.0, 11181.0)	(21.0, 12184.0)	(22.0, 13882.0)	(23.0, 15225.0)	(24.0, 17938.0)	(25.0, 20503.0)	(26.0, 23779.0)	(27.0, 27215.0)	(28.0, 32299.0)	(29.0, 38678.0)	(30.0, 45723.0)	(31.0, 49406.0)	(32.0, 61298.0)	(33.0, 75638.0)	(34.0, 96942.0)	(35.0, 125244.0)	(36.0, 181080.0)	(37.0, 297355.0)	(38.0, 802253.0)	(39.0, 2211626.0)	(40.0, 76081.0)			
IDDLNTM117_R1	(15.0, 4.0)	(16.0, 62.0)	(17.0, 466.0)	(18.0, 1414.0)	(19.0, 3081.0)	(20.0, 5776.0)	(21.0, 8832.0)	(22.0, 11953.0)	(23.0, 14320.0)	(24.0, 17886.0)	(25.0, 21447.0)	(26.0, 25940.0)	(27.0, 29886.0)	(28.0, 36621.0)	(29.0, 44793.0)	(30.0, 54672.0)	(31.0, 66816.0)	(32.0, 91911.0)	(33.0, 132420.0)	(34.0, 196193.0)	(35.0, 269808.0)	(36.0, 413749.0)	(37.0, 502114.0)	(38.0, 459089.0)	(39.0, 1315746.0)	(40.0, 129994.0)					
IDDLNTM117_R2	(12.0, 1.0)	(13.0, 10.0)	(14.0, 23.0)	(15.0, 240.0)	(16.0, 1989.0)	(17.0, 5240.0)	(18.0, 7702.0)	(19.0, 8674.0)	(20.0, 9679.0)	(21.0, 10913.0)	(22.0, 12433.0)	(23.0, 13607.0)	(24.0, 15924.0)	(25.0, 18723.0)	(26.0, 21758.0)	(27.0, 24154.0)	(28.0, 29113.0)	(29.0, 35176.0)	(30.0, 41133.0)	(31.0, 44661.0)	(32.0, 55125.0)	(33.0, 67511.0)	(34.0, 86508.0)	(35.0, 110556.0)	(36.0, 160987.0)	(37.0, 271091.0)	(38.0, 821774.0)	(39.0, 1917526.0)	(40.0, 62762.0)		
