Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
IDDLNTM111_R1	(1, 0.0)	(2, 0.2728139190743493)	(3, 0.2722536072008963)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.5166655106209048)	(9, 0.20234987071286545)	(10, 0.04501816086708456)	(15, 0.0)	(20, 0.0)	(25, 0.10683794949812479)	(30, 0.404417653379096)	(35, 0.19280138354526324)	(40, 0.3437919086714832)	(45, 0.10533090376952711)	(50, 0.0557877414968326)	(55, 0.11639802932517777)	(60, 0.2531720897449595)	(65, 0.06056778141035909)	(70, 0.0)	(75, 0.18601194932693985)	(80, 0.0554979250105638)	(85, 0.058318805476913316)	(90, 0.0)	(95, 0.11824126217784724)	(100, 0.04750285420936227)	(105, 0.2596021515203097)	(110, 0.0)	(115, 0.06056778141035909)	(120, 0.0)	(125, 0.0)	(130, 0.054110670096290565)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM111_R2	(1, 0.0)	(2, 0.27055335048145285)	(3, 0.2936034216893635)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.08630734961084408)	(25, 0.0)	(30, 0.1701145490001428)	(35, 0.05037783375314861)	(40, 0.0)	(45, 0.05572977819957885)	(50, 0.0)	(55, 0.06238396472431014)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.13344310293759923)	(80, 0.33889207794363224)	(85, 0.3445145177772467)	(90, 0.2694134056354623)	(95, 0.22240517156266537)	(100, 0.22240517156266537)	(105, 0.2777021571427495)	(110, 0.10714322286366125)	(115, 0.06089237587498012)	(120, 0.11376263141004028)	(125, 0.0)	(130, 0.0)	(135, 0.054187954492628906)	(140, 0.0)	(145, 0.0)	(150, 0.1349868587544576)
IDDLNTM112_R1	(1, 0.0)	(2, 0.27093986769658124)	(3, 0.26615679517188184)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.516733286592422)	(9, 0.2074682934764138)	(10, 0.04441597473568983)	(15, 0.0)	(20, 0.0)	(25, 0.10442032591896547)	(30, 0.4049789161355842)	(35, 0.19313925764292608)	(40, 0.3390936057383954)	(45, 0.1067089353042014)	(50, 0.053408958351749164)	(55, 0.11550413786227738)	(60, 0.25004772981654394)	(65, 0.059758133947826975)	(70, 0.0)	(75, 0.1902976685649612)	(80, 0.054034592310676095)	(85, 0.05681967251493146)	(90, 0.0)	(95, 0.12373021533513597)	(100, 0.04545331620307191)	(105, 0.2667582110420761)	(110, 0.0)	(115, 0.059758133947826975)	(120, 0.0)	(125, 0.0)	(130, 0.05293266927334028)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM112_R2	(1, 0.0)	(2, 0.2646633463667014)	(3, 0.2884778002871458)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0848642192673463)	(25, 0.0)	(30, 0.16758917402997475)	(35, 0.05089834981979724)	(40, 0.0)	(45, 0.053558303232267214)	(50, 0.0)	(55, 0.06240194196780851)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.13384126738101956)	(80, 0.33709157706982923)	(85, 0.3468555031772114)	(90, 0.26809020592237215)	(95, 0.22306877896836594)	(100, 0.22306877896836594)	(105, 0.2784878386849255)	(110, 0.10756867745421066)	(115, 0.06065823957905733)	(120, 0.11054750236832726)	(125, 0.0)	(130, 0.0)	(135, 0.052755069955967474)	(140, 0.0)	(145, 0.0)	(150, 0.13039422608473827)
IDDLNTM113_R1	(1, 0.0)	(2, 0.2749999541360984)	(3, 0.2679827771876623)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.5040442788451837)	(9, 0.21331300645213366)	(10, 0.04567127323694576)	(15, 0.0)	(20, 0.0)	(25, 0.10669778073752823)	(30, 0.4049323874362263)	(35, 0.19071127573194202)	(40, 0.3409430718907485)	(45, 0.10678950854077576)	(50, 0.05608237890554055)	(55, 0.11554034097059024)	(60, 0.24898594913509856)	(65, 0.05944878928472493)	(70, 0.0)	(75, 0.18752832095925268)	(80, 0.05510089141079196)	(85, 0.05754085097717629)	(90, 0.0)	(95, 0.12096145414251933)	(100, 0.04548781763045069)	(105, 0.2680928505515593)	(110, 0.0)	(115, 0.05944878928472493)	(120, 0.0)	(125, 0.0)	(130, 0.0534314453916869)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM113_R2	(1, 0.0)	(2, 0.26715722695843447)	(3, 0.29889504688208024)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.08437123342707915)	(25, 0.0)	(30, 0.16597228719608287)	(35, 0.04969812379951238)	(40, 0.0)	(45, 0.053761665483378004)	(50, 0.0)	(55, 0.06203551333630532)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.13288606856469837)	(80, 0.33704464025272846)	(85, 0.34377746101109724)	(90, 0.26761586597467213)	(95, 0.22147678094116396)	(100, 0.22147678094116396)	(105, 0.2776967515515758)	(110, 0.10671612629817773)	(115, 0.06201716777565581)	(120, 0.11160521821127115)	(125, 0.0)	(130, 0.0)	(135, 0.053541518755583925)	(140, 0.0)	(145, 0.0)	(150, 0.1358718085604055)
IDDLNTM116_R1	(1, 0.0)	(2, 0.2621181264639639)	(3, 0.26451018595213815)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.5088989303272806)	(9, 0.2202805369845229)	(10, 0.046452857197800804)	(15, 0.0)	(20, 0.0)	(25, 0.10592602251162495)	(30, 0.41988617549086465)	(35, 0.1933581419607571)	(40, 0.338556152892938)	(45, 0.11062102554625727)	(50, 0.055514541376531744)	(55, 0.1150908935702379)	(60, 0.24887737365001075)	(65, 0.05913546279784659)	(70, 0.0)	(75, 0.20052963011255812)	(80, 0.0544170081996047)	(85, 0.056790306436891376)	(90, 0.0)	(95, 0.11468752667615362)	(100, 0.04472682211613777)	(105, 0.2677465017302563)	(110, 0.0)	(115, 0.05913546279784659)	(120, 0.0)	(125, 0.0)	(130, 0.05205309058776185)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM116_R2	(1, 0.0)	(2, 0.2602654529388092)	(3, 0.2901661965409882)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0838581011550364)	(25, 0.0)	(30, 0.16566184533787606)	(35, 0.05028015237887971)	(40, 0.0)	(45, 0.054923561973571025)	(50, 0.0)	(55, 0.059923435335127534)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.13364577069811553)	(80, 0.33790419942459243)	(85, 0.3392737707393903)	(90, 0.27030272216369755)	(95, 0.22274295116352588)	(100, 0.22274295116352588)	(105, 0.27818713784922894)	(110, 0.105452300926712)	(115, 0.05920581748867525)	(120, 0.10967827268915328)	(125, 0.0)	(130, 0.0)	(135, 0.05405116380729569)	(140, 0.0)	(145, 0.0)	(150, 0.1391967558044965)
IDDLNTM117_R1	(1, 0.0)	(2, 0.26565547589839983)	(3, 0.26767882587594843)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.5283537479834594)	(9, 0.23411196855610372)	(10, 0.04816610561938764)	(15, 0.0)	(20, 0.0)	(25, 0.10908450417419695)	(30, 0.43085421944994456)	(35, 0.19959050509300535)	(40, 0.34357520234148287)	(45, 0.114179195656127)	(50, 0.05962656741529751)	(55, 0.1193517082910397)	(60, 0.2505062914511129)	(65, 0.058189470123551454)	(70, 0.0)	(75, 0.20801075384572681)	(80, 0.055865211687803326)	(85, 0.058184282046685944)	(90, 0.0)	(95, 0.1263296716751496)	(100, 0.046002677566470286)	(105, 0.28928716602079435)	(110, 0.0)	(115, 0.058189470123551454)	(120, 0.0)	(125, 0.0)	(130, 0.051927461346881816)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM117_R2	(1, 0.0)	(2, 0.2596373067344091)	(3, 0.29066200639015427)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.08418173521975267)	(25, 0.0)	(30, 0.17028824695660927)	(35, 0.051932649423747326)	(40, 0.0)	(45, 0.0557925786116862)	(50, 0.0)	(55, 0.059751081260069734)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.13033486701532274)	(80, 0.3321406809299005)	(85, 0.3449033500190532)	(90, 0.2668954262692565)	(95, 0.21722477835887122)	(100, 0.21722477835887122)	(105, 0.275040706948106)	(110, 0.10334649116094374)	(115, 0.05849037858175099)	(120, 0.11166297837635503)	(125, 0.0)	(130, 0.0)	(135, 0.05557986746020032)	(140, 0.0)	(145, 0.0)	(150, 0.14167340900489314)
